postcode,installations,output
2341,215,1248.28
2342,58,435.596
2343,591,3134.522
2344,120,609.408
2345,127,782.075
2346,456,2251.255
2347,289,1478.105
2350,3214,17411.327
2352,382,1672.719
2353,212,905.169
2354,406,2191.07
2355,83,362.395
2356,28,154.243
2357,1127,4671.55
2358,554,3002.785
2359,143,700.618
2360,2176,12081.367
2361,190,1021.24
2365,550,3338.089
2369,145,810.58
2370,1068,5834.612
2371,255,1309.013
2372,873,3805.881
2379,46,310.83
2380,1367,7912.642
2381,198,1482.24
2382,183,1063.365
2386,50,262.024
2387,16,70.09
2388,670,3129.23
2390,2387,9667.659
2395,125,562.91
2396,269,889.187
2397,81,499.35
2398,39,228.44
2399,124,925.615
2400,2448,13228.618
2401,51,302.465
2402,359,2076.955
2403,138,727.79
2404,321,1668.993
2405,86,448.201
2406,179,962.175
2408,50,473.18
2409,78,478.1
2410,40,257.77
2411,28,189.628
2415,79,496.635
2420,593,3216.707
2421,355,2464.455
2422,1015,5285.894
2423,619,3330.312
2424,76,318.97
2425,399,2567.965
2426,132,650.094
2427,885,3654.406
2428,3523,14647.388
2429,1696,8250.981
2430,5609,27832.111
2431,1043,4273.8
2439,864,4032.978
2440,3277,16845.221
2441,901,3842.559
2443,2081,7637.674
2444,7295,35727.815
2445,1394,6010.03
2446,2542,12803.189
2447,1308,6100.188
2448,1661,6478.867
2449,401,1717.938
2450,6407,33102.422
2452,2119,9714.096
2453,525,2288.921
2454,1558,6832.714
2455,543,2384.587
2456,2714,12274.704
2460,5206,27244.147
2462,515,2291.719
2463,1589,8267.936
2464,1464,6494.161
2465,45,330.565
2466,426,2091.23
2469,791,3693.732
2470,2997,15635.827
2471,511,2537.221
2472,446,1848.401
2473,666,2525.87
2474,1479,6705.938
2475,44,245.15
2476,93,504.027
2477,2836,12983.254
2478,6237,28973.159
2479,1176,6563.467
2480,9185,44137.731
2481,2503,14817.909
2482,1632,7808.49
2483,2385,10801.261
2484,4201,20842.422
2485,2176,9641.744
2486,7137,31820.602
2487,2892,16011.343
2488,636,2928.045
2489,1729,8229.372
2490,155,725.175
2500,1658,9990.839
2502,883,4363.917
2505,376,2110.832
2506,529,2637.501
2508,760,3847.664
2515,1180,5188.875
2516,614,3305.367
2517,1139,5410.057
2518,1431,6824.577
2519,1211,6653.997
2520,6,79.54
2525,1122,5749.895
2526,1590,10497.352
2527,2947,16237.281
2528,1926,8626.492
2529,2822,14229.143
2530,4299,21669.955
2533,2081,10676.755
2534,747,3752.889
2535,1291,6736.156
2536,2678,13364.647
2537,2093,9654.172
2538,408,2014.435
2539,2988,14049.948
2540,6834,32984.386
2541,2994,16617.261
2545,206,866.268
2546,1521,6640.027
2548,1158,4917.328
2549,631,2937.649
2550,3051,12469.347
2551,494,2274.345
2552,1,0.56
2555,4,49.49
2556,157,1110.799
2557,1542,10585.73
2558,1260,5387.503
2559,152,1001.339
2560,7640,36728.305
2563,14,151.47
2564,1170,4934.152
2565,3055,20568.448
2566,3348,17312.078
2567,4424,26083.194
2568,177,859.362
2569,209,1151.16
2570,5766,37017.635
2571,1691,10288.536
2572,556,3176.4
2573,539,2743.242
2574,821,4969.302
2575,2046,11161.067
2576,1424,8243.519
2577,2213,13606.333
2578,439,2063.009
2579,742,4141.844
2580,3211,17718.133
2581,406,2334.409
2582,2011,12349.06
2583,690,3539.747
2584,107,603.19
2585,20,142.46
2586,524,2764.488
2587,524,3126.792
2588,75,415.485
2590,1108,5920.078
2594,1564,9736.25
2600,611,5975.844
2601,28,1305.355
2602,2363,11448.48
2603,583,4858.103
2604,535,2937.229
2605,953,4824.936
2606,658,3757.34
2607,1172,6013.855
2609,144,4317.443
2611,3273,17210.181
2612,530,3501.987
2614,1854,8805.93
2615,4294,20605.735
2616,9,63.085
2617,2467,12292.436
2618,219,1830.91
2619,902,5553.947
2620,4329,29667.219
2621,1030,5881.181
2622,780,3644.816
2623,65,278.215
2624,5,56.32
2625,4,110.39
2626,69,322.33
2627,597,3812.219
2628,286,1607.35
2629,88,589.605
2630,1116,5932.773
2631,72,300.615
2632,264,1144.475
2633,38,171.34
2640,5175,29556.883
2641,1820,9505.386
2642,955,5383.612
2643,607,3423.854
2644,418,2530.006
2645,88,525.135
2646,1340,7799.255
2647,503,3134.867
2648,392,2794.714
2649,5,22.61
2650,6686,36793.979
2651,194,1178.51
2652,680,3925.077
2653,427,2293.38
2655,246,1337.784
2656,228,1272.751
2658,278,1439.025
2659,159,918.945
2660,320,2027.303
2663,579,3157.481
2665,264,1616.054
2666,770,4638.505
2668,64,282.885
2669,231,1404.923
2671,675,4170.74
2672,274,2104.395
2675,230,2676.08
2678,1,39.6
2680,2917,23616.364
2681,231,1872.71
2700,752,4453.586
2701,358,1975.63
2702,128,556.618
2703,112,713.233
2705,1336,10013.415
2706,193,1193.97
2707,176,1472.38
2710,1688,11664.198
2711,513,4001.678
2712,275,1864.38
2713,524,3974.46
2714,647,3569.272
2715,190,1239.773
2716,243,1392.37
2717,124,866.248
2720,1132,5933.102
2721,26,161.61
2722,485,2954.244
2725,51,224.505
2726,52,368.887
2727,51,366.808
2729,329,1748.316
2730,231,1262.885
2731,1146,6905.346
2732,361,3419.073
2733,107,714.75
2734,53,789.165
2735,77,505.545
2736,59,611.225
2737,84,1012.195
2738,295,2689.249
2739,191,1946.623
2745,3390,20085.108
2747,4939,27461.714
2748,225,2150.495
2749,1666,9011.518
2750,3821,21271.203
2751,8,37.747
2752,629,3926.261
2753,1539,9879.11
2754,718,4381.973
2756,3287,24235.524
2757,89,732.805
2758,981,6032.543
2759,2775,14185.208
2760,2583,13667.014
2761,3833,19748.971
2762,2067,13675.153
2763,3060,13579.831
2765,4665,34464.297
2766,1408,9449.257
2767,2982,11254.032
2768,3510,16038.642
2769,2240,12854.318
2770,3983,18695.151
2773,700,3116.884
2774,1430,6368.09
2775,212,1115.78
2776,535,2235.675
2777,2077,9278.481
2778,357,1295.968
2779,553,2169.638
2780,1436,6622.17
2782,787,3486.642
2783,314,1275.214
2784,180,652.841
2785,634,2621.876
2786,180,783.747
2787,555,2731.164
2790,1613,8966.338
2791,50,343.765
2792,52,411.521
2793,182,816.971
2794,1560,8852.048
2795,4898,29284.508
2797,63,329.135
2798,308,1680.14
2799,410,2533.4
2800,5229,33122.085
2803,65,628.872
2804,530,2947.74
2805,57,312.513
2806,119,900.06
2807,81,353.841
2808,38,184.825
2809,41,225.685
2810,530,3194.073
2817,35,198.975
2818,106,611.185
2820,856,4431.353
2821,1056,5622.515
2822,35,323.34
2823,301,1643.535
2824,501,2616.045
2825,417,2323.845
2826,39,230.01
2827,802,4004.053
2828,166,1035.74
2829,607,3316.349
2830,8718,40843.574
2831,544,2315.795
2832,434,2294.995
2833,158,681.645
2834,542,2044.17
2835,828,3988.35
2836,149,838.91
2838,24,155.61
2839,238,1252.15
2840,637,3577.069
2842,150,708.175
2843,203,1219.32
2844,286,1515.63
2845,204,1018.535
2846,68,241.485
2847,333,1609.425
2848,185,988.934
2849,306,1570.509
2850,2570,15476.75
2852,520,3143.394
2864,135,841.989
2865,209,1007.005
2866,417,2472.937
2867,111,608.291
2868,111,591.013
2869,271,1486.321
2870,1944,10898.893
2871,1282,7964.878
2873,156,853.66
2874,97,436.205
2875,162,867.419
2876,58,289.8
2877,702,4438.013
2878,55,264.14
2879,223,1199.615
2880,4900,21454.913
2898,41,155.893
2899,545,1654.2
2900,142,1137.46
2901,1,3.5
2902,1612,7719.675
2903,907,4548.558
2904,1458,6605.982
2905,2694,13417.816
2906,1580,8128.658
2911,383,3600.412
2912,325,2109.952
2913,2872,14477.91
2914,2443,14128.421
3000,60,1172.336
3002,69,612.134
3003,91,1111.19
3004,16,344.61
3006,27,712.4
3008,92,1071.615
3011,810,4357.129
3012,1268,6986.492
3013,873,3855.702
3015,1033,4357.746
3016,935,4358.528
3018,1136,5736.479
3019,490,2731.675
3020,2941,15097.542
3021,3562,14512.268
3022,196,849.579
3023,5982,27004.128
3024,3631,17774.211
3025,657,4549.24
3026,407,7932.535
3027,868,4088.295
3028,2269,9164.473
3029,14100,74260.124
3030,10948,55167.799
3031,634,2739.328
3032,1302,5691.291
3033,896,4030.457
3034,654,2838.177
3036,457,2156.88
3037,4289,18789.907
3038,2220,9908.063
3039,622,2798.813
3040,1171,5517.56
3041,664,3336.212
3042,919,5234.347
3043,1302,8176.32
3044,1347,5647.861
3045,7,393.17
3046,1618,6705.665
3047,1157,6444.295
3048,1295,6431.619
3049,688,3208.639
3051,187,1132.328
3052,105,1056.954
3053,122,1043.988
3054,295,1165.283
3055,626,2446.31
3056,1062,5268.322
3057,439,1911.801
3058,2263,10723.697
3059,1775,9856.725
3060,679,3137.415
3061,605,9854.555
3062,42,1435.31
3063,72,525.755
3064,10234,55275.701
3065,246,1171.93
3066,182,1151.162
3067,192,1351.958
3068,869,3494.105
3070,1688,6480.898
3071,1032,4868.212
3072,1895,8883.578
3073,2814,11896.854
3074,1461,10871.253
3075,1481,6476.385
3076,2899,14314.679
3078,862,4181.062
3079,876,4487.648
3081,729,4366.249
3082,2152,9378.019
3083,2279,10049.901
3084,1593,7060.268
3085,850,3577.822
3087,565,2256.937
3088,1805,7798.496
3089,994,4727.689
3090,199,1320.983
3091,201,1381.745
3093,269,1665.857
3094,569,2330.988
3095,2018,9557.439
3096,170,711.54
3097,177,990.561
3099,501,2335.149
3101,1036,5685.456
3102,344,1442.398
3103,726,3606.327
3104,1044,5403.83
3105,639,2926.544
3106,1264,6066.912
3107,785,3554.003
3108,1203,5679.82
3109,1626,7529.727
3111,985,4744.667
3113,789,3910.824
3114,329,1745.213
3115,354,1916.785
3116,965,4479.948
3121,785,3942.844
3122,578,2906.731
3123,440,2258.48
3124,998,4829.212
3125,817,3477.488
3126,335,1826.7
3127,953,4150.392
3128,874,4220.636
3129,920,3973.039
3130,2063,8814.307
3131,1557,7407.513
3132,981,4235.882
3133,1912,8392.465
3134,2218,11580.683
3135,1357,6321.689
3136,3276,14223.301
3137,1266,7016.418
3138,1846,7570.216
3139,1566,8724.822
3140,1439,7066.674
3141,268,1410.225
3142,270,2094.829
3143,239,1317.782
3144,403,2368.263
3145,1003,4521.574
3146,1138,5407.504
3147,934,4230.263
3148,484,1959.135
3149,2452,10891.806
3150,4837,21431.886
3151,724,3063.618
3152,2928,13439.667
3153,1813,13067.771
3154,355,1486.83
3155,1749,7575.948
3156,3499,15746.412
3158,458,2071.239
3159,199,853.79
3160,650,3016.773
3161,428,2670.189
3162,708,3514.109
3163,1220,5010.759
3164,20,543.56
3165,1479,6329.255
3166,1193,5908.904
3167,649,3292.943
3168,685,4848.175
3169,1271,6458.379
3170,1548,8562.127
3171,1496,7283.425
3172,1803,8605.656
3173,3150,16757.186
3174,2409,10881.233
3175,3486,29884.149
3176,1,5.1
3177,728,2996.052
3178,3577,15575.048
3179,566,3525.178
3180,785,4157.96
3181,346,1699.038
3182,344,1666.825
3183,397,1682.005
3184,398,1569.605
3185,455,2001.361
3186,1022,5622.676
3187,941,4139.272
3188,922,4106.494
3189,525,4101.781
3190,483,2321.013
3191,559,2840.255
3192,1293,7145.898
3193,1167,5759.162
3194,651,3597.362
3195,2741,16852.733
3196,1828,7676.434
3197,1063,4144.031
3198,1470,6336.634
3199,4195,17994.421
3200,368,1375.825
3201,2229,12927.112
3202,198,1526.361
3204,1538,7227.884
3205,229,1343.719
3206,343,1484.974
3207,373,3188.401
3211,218,1286.865
3212,1963,8981.622
3213,427,2855.462
3214,1929,7533.549
3215,1634,8818.998
3216,5172,22470.498
3217,1028,6137.524
3218,920,4340.968
3219,1829,7580.535
3220,1167,8086.786
3221,460,1597.491
3222,2164,10767.785
3223,1377,6008.746
3224,1641,8090.934
3225,847,3792.936
3226,2117,9080.344
3227,783,3760.813
3228,2470,12274.015
3230,584,2766.011
3231,346,1592.018
3232,131,648.633
3233,355,2064.74
3234,44,287.885
3235,76,366.815
3236,49,197.005
3237,33,228.532
3238,47,196.875
3239,61,393.46
3240,316,1673.631
3241,378,2097.993
3242,128,659.62
3243,44,228.645
3249,395,2205.268
3250,1021,5284.838
3251,60,269.605
3254,51,202.38
3260,422,2857.514
3264,235,1707.475
3265,325,3512.086
3266,313,2353.842
3267,21,162.84
3268,299,2701.19
3269,84,593.222
3270,27,110.025
3271,36,238.515
3272,212,1162.61
3273,13,69.29
3274,41,195.81
3275,41,199.761
3276,48,283.98
3277,158,1281.295
3278,37,269.195
3279,28,130.63
3280,2199,11607.021
3281,221,1265.768
3282,224,1063.439
3283,150,870.797
3284,372,2164.166
3285,151,761.868
3286,55,247.036
3287,42,202.002
3289,101,509.832
3292,46,177.105
3293,45,180.346
3294,105,562.039
3300,838,4697.332
3301,128,668.947
3302,41,230.135
3303,33,193.135
3304,358,1945.263
3305,1495,6939.733
3309,14,78.75
3310,34,145.22
3311,197,963.272
3312,103,507.365
3314,73,350.381
3315,190,944.005
3317,16,78.67
3318,170,992.451
3319,39,193.661
3321,240,1151.01
3322,13,49.455
3323,4,22.76
3324,88,446.28
3325,77,367.93
3328,294,1351.822
3329,31,129.74
3330,26,132.49
3331,959,4857.52
3332,165,1173.974
3333,112,688.962
3334,61,270.201
3335,1028,6255.468
3336,1007,6592.67
3337,4038,18333.088
3338,3425,17566.301
3340,2562,12233.184
3341,247,1143.577
3342,528,2634.756
3345,218,1080.744
3350,4580,24133.155
3351,1211,5904.463
3352,2256,12303.357
3353,10,21.18
3354,1,4
3355,965,6423.038
3356,1387,7497.413
3357,461,2216.913
3358,100,610.41
3360,103,458.805
3361,82,489.39
3363,499,2451.984
3364,334,1704.641
3370,324,1477.23
3371,221,956.005
3373,368,1969.432
3374,77,583.025
3375,22,205.15
3377,1070,5459.327
3378,12,81.085
3379,102,541.085
3380,652,3567.158
3381,203,1080.763
3384,83,392.027
3385,101,498.375
3387,60,275.42
3388,90,438.925
3390,159,744.562
3391,28,199.035
3392,97,424.5
3393,385,1981.285
3395,85,352.507
3396,118,619.61
3400,1570,9070.388
3401,691,3811.176
3402,22,75.78
3407,56,242.128
3409,194,781.525
3412,52,148.43
3413,22,117.602
3414,306,1368.34
3415,2,11.8
3418,431,1915.816
3419,143,531.912
3420,38,175.135
3423,78,327.359
3424,114,591.335
3427,557,3023.781
3428,86,602.246
3429,3716,18064.212
3430,35,209
3431,574,2662.967
3432,32,176.955
3433,40,219.555
3434,696,3332.662
3435,460,2334.149
3437,1302,7230.4
3438,263,1562.754
3440,222,1037.626
3441,122,717.196
3442,1242,6389.938
