Postcode,Average_total,Average_salary
2359,67405,49262
2360,73657,53407
2361,67097,48744
2365,69441,44028
2369,64182,50329
2370,72967,50054
2371,65217,46755
2372,69471,49722
2379,74965,41950
2380,89169,70812
2381,82266,58955
2382,86306,66975
2386,63702,43809
2387,47579,53832
2388,79980,53116
2390,83240,64413
2395,65441,46924
2396,72181,51438
2397,85367,46297
2398,72963,35763
2399,3327,63443
2400,93401,58221
2401,77404,62411
2402,73273,52062
2403,70549,41662
2404,75003,47595
2405,54155,45036
2406,86109,51801
2408,49528,49750
2409,107966,54560
2410,63126,45947
2411,82854,53697
2415,66910,56722
2420,78297,58449
2421,86348,68492
2422,72723,50916
2423,70881,48489
2424,65103,49347
2425,79491,58878
2426,66338,48793
2427,77256,53228
2428,77327,47424
2429,71065,52304
2430,74870,51898
2431,76270,49111
2439,71306,52150
2440,70509,52780
2441,84362,51719
2443,69928,45181
2444,82419,55819
2445,79378,55622
2446,75209,54538
2447,72550,50984
2448,72718,48486
2449,66579,49823
2450,80363,55316
2452,74603,55296
2453,70090,45799
2454,75915,49725
2455,75447,51992
2456,72207,51728
2460,73898,55573
2462,70475,48642
2463,76590,53757
2464,78943,51490
2465,80819,49970
2466,75422,46945
2469,64124,43337
2470,68989,53432
2471,67668,53818
2472,71220,51523
2473,77943,53957
2474,72081,49895
2475,69210,49190
2476,71296,46324
2477,80758,52640
2478,83825,52299
2479,97059,50081
2480,74112,52734
2481,90095,44097
2482,74969,38632
2483,74816,45034
2484,76621,49630
2485,76208,50758
2486,77114,54155
2487,95149,59651
2488,82275,56485
2489,80630,56427
2490,77266,49109
2500,89643,67374
2502,77033,60801
2505,82766,65939
2506,78695,64359
2508,96135,75973
2515,111595,76783
2516,100858,77124
2517,95513,74078
2518,88341,67225
2519,92156,67628
2520,89511,62748
2525,92862,71779
2526,89889,70315
2527,82135,68954
2528,78641,62854
2529,86871,69413
2530,82632,68194
2533,93767,63766
2534,95459,61552
2535,92993,55124
2536,75649,44869
2537,75249,46252
2538,87855,44187
2539,73358,45884
2540,78210,54005
2541,77637,56994
2545,72726,45165
2546,73749,41529
2548,78343,44875
2549,77795,49543
2550,76633,51021
2551,74597,50912
2555,76265,56772
2556,91460,60238
2557,86833,71679
2558,77866,67725
2559,70128,59374
2560,79456,66801
2563,113341,57221
2564,73989,63402
2565,82173,67293
2566,76798,65603
2567,88442,76055
2568,99338,68160
2569,89084,70188
2570,92880,73666
2571,92642,73933
2572,88585,70131
2573,80374,67278
2574,85138,68548
2575,94524,62971
2576,117735,60287
2577,94619,60535
2578,86861,51858
2579,87763,60890
2580,81035,61945
2581,86161,64899
2582,94852,70047
2583,75342,46750
2584,78809,49750
2585,105869,46705
2586,81584,49104
2587,78044,50851
2588,110957,47179
2590,76675,53183
2594,76491,50770
2600,145034,82119
2601,106667,82072
2602,102917,78011
2603,153014,83619
2604,119531,90324
2605,124075,82008
2606,101163,73487
2607,106212,73413
2608,111119,77878
2609,106952,62489
2610,78351,73284
2611,102007,75767
2612,107134,81535
2614,100688,70428
2615,89110,70375
2616,104688,67845
2617,90592,70529
2618,135291,66134
2619,111427,88313
2620,93315,72823
2621,103622,78414
2622,82890,56342
2623,80930,65963
2624,64115,37914
2625,82199,44815
