Postcode,Average_total,Average_salary
4220,86780,60234
4221,84974,59481
4223,90269,57391
4224,86799,59068
4225,84796,51596
4226,84056,58431
4227,81575,62162
4228,89980,57589
4230,85992,61598
4270,84980,63663
4271,85234,56135
4272,84682,54453
4275,80241,58126
4280,80592,64898
4285,78805,60763
4287,75275,50793
4300,81166,69083
4301,72123,61035
4303,69068,56544
4304,75567,61310
4305,78196,63887
4306,85414,69736
4307,77268,61041
4309,73750,57053
4310,73013,54121
4311,73885,58670
4312,78208,58650
4313,72852,54264
4314,73639,48508
4340,76972,60482
4341,76795,61643
4342,74832,55480
4343,65325,51761
4344,76696,61289
4346,80496,64436
4347,72339,53813
4350,84222,62511
4352,88549,65975
4353,66548,57401
4354,75516,62945
4355,72670,54808
4356,76502,59222
4357,77810,59579
4358,79043,64102
4359,75331,60778
4360,69547,57274
4361,72826,54301
4362,67598,53661
4363,73580,57505
4364,110166,41298
4365,66558,50299
4370,72195,56309
4371,67377,54274
4372,70090,47179
4373,70186,52254
4374,127897,57332
4375,65104,42984
4376,66490,47046
4377,64830,47714
4378,64942,49857
4380,67868,47368
4381,65411,44649
4382,69653,42436
4383,63779,46234
4385,71444,58286
4387,72054,57802
4388,92683,46805
4390,76477,57257
4400,75142,62123
4401,72955,61239
4402,66525,49056
4403,77147,48509
4404,70120,48009
4405,80593,62753
4406,73926,51823
4407,84682,50986
4408,72367,57137
4410,75133,48599
4411,79647,47054
4412,73121,52415
4413,84815,69907
4415,75592,60453
4416,76544,48680
4417,77111,49979
4418,83369,39876
4419,64541,48191
4420,77163,41178
4421,66963,49880
4422,83036,43140
4423,67038,34955
4424,74058,49392
4425,64989,47043
4426,57558,43157
4427,57943,51004
4428,56164,48310
4454,73003,39989
4455,81652,65374
4462,76719,41941
4465,70638,53093
4467,48728,39646
4468,56966,35567
4470,69048,58904
4472,72851,49457
4477,81971,43742
4478,82147,47145
4480,64692,55811
4481,84562,69606
4482,93400,67147
4486,45055,48869
4487,66816,56863
4488,79968,42290
4490,58838,51134
4492,93502,66944
4494,56304,44105
4496,42323,51094
4497,80264,43329
4498,56077,55511
4500,82838,66866
4501,75130,62086
4502,80028,66419
4503,78613,64410
4504,82811,68941
4505,81223,63371
4506,74437,59169
4507,84337,53907
4508,73238,59144
4509,86865,72426
4510,73696,56785
4511,80837,59690
4512,78705,60439
4514,78065,59707
4515,74813,59673
4516,79400,59710
4517,80505,63431
4518,79106,58858
4519,79217,59806
4520,111196,77537
4521,90983,68718
4550,77811,58044
4551,83648,58199
4552,82151,48366
4553,82786,59448
4554,83368,55021
4555,84894,57809
4556,90418,59897
4557,84304,59328
4558,81007,54368
4559,84112,57839
4560,77420,54896
4561,83826,56525
4562,87670,53569
4563,83416,52287
4564,84447,55020
4565,77549,50109
4566,99151,48385
4567,103974,50564
4568,78924,55123
4569,72767,52221
4570,73637,55637
4571,72546,52310
4572,96728,58352
4573,86811,58226
4574,74225,52323
4575,95016,59573
4580,72814,45282
4581,75261,50162
4600,67438,52304
4601,66859,45931
4605,67653,52978
4606,69083,54006
4608,73974,52068
4610,78314,63115
4611,53826,45423
4612,62724,45959
4613,64470,51904
4614,71018,57059
4615,74652,58632
4620,67570,42264
4621,72604,53098
4625,65506,47734
4626,63834,46230
4627,67756,40569
4630,74571,50035
4650,74067,56131
4655,77940,55542
4659,73857,51556
4660,74383,52561
4662,74450,54238
4670,77740,57549
4671,72490,58138
4673,73858,56914
4674,74546,58184
4676,92391,46027
4677,83900,61429
4678,91708,76185
4680,98898,85919
4694,89923,69449
4695,91605,91056
4697,89868,72735
4699,84521,67952
4700,92592,69105
4701,84125,68922
4702,83796,69510
4703,92168,71723
4704,80521,56302
4705,144470,41782
4707,83839,69316
4709,109579,103108
4710,89218,68004
4711,93676,77863
4712,121751,59964
4713,70294,52443
4714,76043,63562
4715,92143,78878
4716,83720,71453
4717,107677,101691
4718,93193,80460
4719,77344,57553
4720,100004,83451
4721,98008,69860
4722,90394,57733
4723,92763,63578
4724,59224,45763
4725,81146,59688
4726,59711,45699
4727,60018,50072
4728,79479,38092
4730,78973,63811
4731,65010,47116
4732,32909,52733
4735,74652,49684
4736,116168,72333
4737,93331,77637
4738,84344,69344
4739,76448,60150
4740,94630,77431
4741,90198,73798
4742,77920,68610
4743,107616,103330
4744,117124,111152
4745,107694,98450
4746,119290,110616
4750,95297,81383
4751,96033,78196
4753,97499,86375
4754,90333,75449
4756,87461,68915
4757,82476,65005
4798,88076,63067
4799,84309,63891
4800,84912,62344
4801,62080,59065
4802,82921,60249
4803,64699,59357
4804,88124,73979
4805,79998,63123
4806,78211,53420
4807,80962,56859
4808,82274,58972
4809,78714,59159
4810,99627,72517
4811,87303,72266
4812,86443,65912
4813,77543,75812
4814,86568,69368
4815,80085,64066
4816,84833,62747
4817,83271,68995
4818,87054,72338
4819,76947,48812
4820,81828,66441
4821,65359,56833
4822,72644,54030
4823,90526,51489
4824,96483,78647
4825,102887,90660
4828,75604,61664
4829,81317,62556
4830,74752,62407
4849,68029,47946
4850,79783,55794
4852,81443,55827
4854,71730,50615
4855,75588,54133
4856,74213,52815
4858,80738,58025
4859,72735,53652
4860,72686,52234
4861,77056,54251
4865,82494,62157
4868,80205,61565
4869,79064,63660
4870,86568,62905
4871,75565,51630
4872,78325,48090
4873,74443,53806
4874,106481,93117
4875,82362,68455
4876,74927,62018
4877,74226,47353
4878,83977,64248
4879,88919,64114
4880,73645,54395
4881,80953,57476
4882,80714,55248
4883,75733,53674
4884,85465,54652
4885,81447,56266
4886,77589,53115
4887,74321,56978
4888,72017,55325
4890,78145,64957
4891,75593,54176
4892,75072,63294
4895,75968,59375
5000,97717,64602
5001,174169,61481
5006,136317,64757
5007,82570,64901
5008,75760,60091
5009,78619,58509
5010,70630,57530
5011,79533,62167
5012,68339,55304
5013,-9436,58259
5014,76258,60975
5015,82349,65411
5016,85129,67178
5017,76166,61942
5018,85147,64979
5019,86945,64485
5020,90950,60227
5021,93877,57161
5022,103330,67432
5023,75200,58061
5024,89277,59437
5025,82545,60109
5031,81891,62210
5032,87654,60066
5033,73970,58659
5034,108065,67903
5035,84650,61883
5037,79091,61062
5038,76827,60022
5039,80912,61847
5040,100461,62356
5041,93332,66259
5042,76578,56027
5043,75382,58667
5044,100145,62842
5045,100533,62255
5046,79390,61439
5047,75582,58405
5048,93881,62616
5049,91336,62151
5050,88944,60387
5051,91752,66501
5052,97072,66512
5061,139092,69337
5062,117612,66995
5063,104920,69010
5064,123689,63188
5065,123540,62555
5066,126442,65258
5067,111855,67706
5068,113511,63109
5069,119214,68151
5070,88704,61549
5071,126027,51772
5072,95273,61982
5073,85595,59071
5074,77208,55990
5075,79853,57469
5076,84491,59515
5081,138468,65562
5082,97972,66044
5083,84185,63821
5084,67792,50709
5085,77689,61289
5086,76804,61770
5087,76251,59281
5088,70382,55472
5089,85276,61044
5090,75169,55963
5091,80713,60246
5092,73667,58605
5093,73533,56836
5094,77635,53205
5095,78987,62920
5096,73751,55982
5097,76778,59871
5098,73036,57469
5106,87147,46366
5107,69067,54639
5108,69495,55239
5109,73916,56305
5110,71531,56203
5111,85875,82851
5112,70229,54832
5113,64843,51131
5114,74301,60084
5115,70066,58370
5116,75482,60064
5117,79265,61910
5118,81376,61911
5120,77055,44842
5121,71436,51743
5125,84428,66652
5126,78696,61242
5127,80190,63877
5131,85347,56455
5132,101218,60240
5133,88975,65592
5134,96935,60535
5136,95214,60166
5137,97742,60099
5138,82220,59159
5139,83403,59352
5140,101534,72730
5141,94692,66234
5142,90711,54876
5144,103143,64004
5150,148708,83455
5151,105574,59870
5152,122148,67760
5153,97244,62061
5154,118190,69898
5155,87883,62761
5156,95760,69746
5157,87893,58277
5158,78743,62502
5159,81009,61157
5160,91733,44359
5161,72581,57537
5162,72113,57615
5163,70196,54392
5164,66894,52608
5165,73170,54732
5166,69748,52533
5167,77961,59387
5168,73589,57125
5169,75134,60334
5170,75104,54973
5171,83856,53959
5172,83444,53939
5173,74733,54507
5174,76884,54602
5201,91012,57513
5202,75203,52825
5203,71417,45269
5204,73338,43566
5210,78695,56261
5211,76129,43225
5212,74071,40852
5213,88684,49609
5214,74788,43368
5220,67667,35814
5221,66618,35666
5222,76734,36561
5223,69694,41598
5231,93769,60161
5232,87210,67595
5233,89497,57788
5234,80023,59457
5235,75504,53299
5236,82891,67695
5237,73432,46944
5238,72170,47483
5240,80968,55707
5241,82237,58685
5242,95993,63087
5243,94066,59110
5244,83813,60320
5245,95281,56793
5250,87898,64076
5251,81080,61067
5252,77461,61005
5253,69604,50722
5254,73835,52878
5255,77232,53819
5256,70109,50078
5259,65551,44558
5260,70051,49509
5261,94873,33729
5262,71839,40074
5264,70549,44537
5265,84117,37918
5266,89782,40567
5267,76301,46479
5268,74300,49251
5269,75924,36007
5270,80580,41394
5271,77950,49530
5272,93941,44180
5273,85671,39281
5275,85654,42271
5276,81909,37868
5277,81736,53165
5278,84315,43956
5279,75694,47842
5280,79129,51096
5290,76381,56829
5291,79524,55608
5301,91047,31785
5302,102366,43644
5303,76694,41297
5304,83009,39832
5306,64577,32296
5307,71114,38958
5308,49276,29653
5311,57350,38661
5320,71560,50136
5321,73408,50702
5322,68886,47874
5330,72589,46777
5331,83447,43442
5332,71928,50061
5333,72473,50615
5340,73038,49546
5341,73289,51113
5342,72031,49679
5343,72788,52572
5344,71691,53190
5345,73845,49890
5346,70114,55205
5350,74328,59120
5351,80129,60747
5352,86690,59243
5353,80110,54659
5354,62934,44111
5355,79782,57882
5356,76166,54680
5357,70433,47600
5360,81662,58068
5371,78695,61205
5372,76170,58204
5373,78709,52848
5374,79878,46648
5381,68565,38268
5400,75260,56651
5401,75365,53306
5410,75677,58550
5411,79560,44164
5412,77237,45119
5413,74301,42899
5414,67144,40741
5415,94336,49212
5416,70817,49034
5417,77618,43774
5419,100605,43332
5420,102921,32643
5422,71045,47210
5431,74137,44394
5432,89746,28530
5433,81909,63376
5434,83544,39642
5440,94541,47990
5451,82948,48766
5452,77243,54052
5453,82212,51897
5454,75565,44553
5460,77408,46453
5461,79071,48901
5462,76945,45842
5464,78082,47094
5470,71946,40757
5471,58584,24608
5472,64941,40845
5473,75636,50846
5480,74061,50305
5481,65398,41569
5482,67466,42883
5483,69047,44937
5485,82665,52783
5490,57812,39710
5491,86967,50759
5495,82536,59740
5501,76864,58856
5502,84586,54782
5510,74241,44883
5520,85948,43006
5521,88500,33715
5522,80180,45179
5523,84993,56341
5540,77788,61475
5550,69358,50177
5552,99913,27216
5554,76222,50735
5555,81180,30836
5556,73844,49045
5558,75670,45501
5560,100658,36081
5570,81579,43703
5571,80101,39305
5572,97601,28747
5573,87657,39068
5575,76498,39943
5576,81144,42661
5577,69933,39916
5580,69493,31210
5581,83576,39727
5582,78389,45550
5583,73472,39939
5600,90171,75693
5602,73208,49322
5603,63703,41652
5604,82822,44702
5605,71461,43688
5606,78933,52309
5607,76618,48115
5608,81807,69327
5609,91269,81621
5630,68877,40806
5631,80588,39885
5632,66896,32171
5633,46293,29995
5640,74037,42653
5641,72713,35189
5642,58609,22459
5650,71005,19412
5651,55919,31073
5652,72691,42923
5653,59674,30244
5654,60706,42789
5655,54827,38479
5661,86625,46011
5670,79375,45852
5671,77541,33866
5680,75366,44791
5690,76765,55266
5700,81875,65142
5710,83394,70351
5720,91398,78335
5722,92028,72871
5723,73475,53606
5724,73374,68827
5725,118567,110465
5730,81503,24309
5731,73197,64686
5732,73754,41171
5733,80619,51200
5734,85320,63650
6000,100725,80630
6001,89928,68724
6003,89672,72003
6004,105564,84252
6005,110028,84700
6006,107875,80331
6007,122562,87015
6008,136176,87840
6009,198235,91874
6010,171741,87744
6011,307608,88771
6012,195035,82895
6014,133752,86940
6015,187943,83199
6016,107001,83897
6017,84205,65779
6018,108428,79832
6019,108477,81238
6020,119462,75953
6021,94555,68599
6022,87429,68000
6023,103751,75737
6024,88221,70030
6025,99905,73475
6026,94437,73339
6027,91206,71625
6028,98534,79089
6029,124842,75316
6030,88687,70751
6031,85341,73166
6032,88961,53626
6033,99322,50198
6034,82997,70791
6035,88331,72338
6036,87905,75291
6037,90330,70547
6038,86936,75595
6041,88541,67197
6043,106108,58864
6044,82809,50917
6050,131685,78675
6051,92755,75181
6052,100357,77819
6053,95918,77602
6054,87422,69970
6055,89639,73620
6056,85986,68482
6057,87987,70624
6058,84470,68968
6059,94106,65214
6060,89307,69784
6061,73255,60929
6062,82393,63204
6063,78229,64045
6064,74509,60468
6065,88664,71643
6066,78607,64413
6067,96706,65621
6069,89126,75863
6070,111378,77798
6071,101045,73151
6072,101356,74597
6073,94884,70111
6074,91144,69220
6076,99775,69895
6077,99523,54564
6078,97649,61156
6081,96141,74577
6082,92581,73509
6083,116099,76831
6084,90082,71240
6090,97122,57310
6100,94691,75435
6101,91500,75920
6102,77253,63766
6103,88596,74492
6104,88575,72978
6105,81538,68309
6106,105556,53547
6107,77729,65179
6108,80258,66596
6109,77558,62140
6110,81873,68459
6111,85765,67548
6112,85300,71496
6120,95916,85805
6121,98325,67660
6122,88337,73283
6123,88506,68973
6124,96545,76951
6125,93195,68892
6126,82521,66973
6147,78086,65115
6148,103920,72315
6149,97727,74804
6150,101794,71924
6151,129887,80198
6152,106207,75686
6153,141719,77165
6154,109038,76375
6155,90485,74720
6156,120064,77744
6157,110667,77333
6158,133016,82007
6159,156992,80965
6160,108579,72431
6161,79647,73568
6162,105499,73272
6163,91632,70927
6164,90568,77031
6165,86076,54986
6166,100137,72979
6167,83339,70307
6168,86917,69874
6169,89462,73202
6170,84898,75070
6171,92753,81358
6172,91469,78970
6173,102695,89748
6174,92524,78623
6175,97944,82393
6176,89130,72441
6180,92128,79696
6181,118512,82840
6207,97572,76380
6208,95455,75251
6209,91031,68805
6210,94521,71287
6211,98017,75668
6213,93243,70288
6214,94714,70642
6215,93344,75972
6218,82101,63091
6220,85066,64367
6221,71803,62197
6223,83667,68036
6224,88840,65885
6225,94562,78842
6226,93841,75596
6227,91096,73837
6228,75515,48719
6229,76061,52508
6230,90885,68940
6231,136580,51940
6232,88459,73094
6233,91169,74929
6236,92002,64582
6237,94633,67510
6239,82319,64584
6240,90328,56413
6244,85496,44236
6251,79301,57657
6252,69112,61197
6253,76846,57064
6254,95061,81264
6255,83458,59624
6256,82680,53751
6258,75200,54441
6260,85255,47738
6262,70341,52279
6271,85052,64504
6275,77375,51246
6280,84526,57543
6281,91949,57211
6282,107818,50988
6284,86647,60822
6285,80682,54895
6286,83184,53076
6288,69950,50290
6290,76098,44216
6302,88424,56751
6304,102975,49574
6306,93316,40330
6308,92054,48320
6309,94599,46578
6311,87614,52802
6312,83727,53116
6313,79709,56235
6315,84156,45492
6316,99041,36919
6317,78954,51571
6318,87305,39561
6320,90851,37734
6321,77062,41019
6322,105793,30704
6323,79194,51138
6324,78146,51177
6326,77442,49705
6327,69128,41839
6328,85974,34239
6330,81596,56060
6331,88230,48743
6332,93648,50311
6333,79531,48333
6335,98976,48672
6336,105409,34944
6337,100582,38760
6338,112953,32294
6341,107525,37588
6343,91373,26281
6346,101194,46166
6348,96530,62752
6350,83391,34220
6352,119965,27402
6353,96740,44773
6355,110411,29495
6356,123405,33014
6357,101142,22377
6358,114529,33053
6359,106001,32526
6361,109134,22341
6363,78405,25173
6365,89836,34875
6367,95115,44045
6369,96288,35786
6370,93835,40603
6372,87128,32174
6375,98496,42696
6383,102496,42573
6386,125123,28214
6390,100926,85573
6391,99185,40090
6392,94984,34774
6393,65131,21044
6394,80652,32548
6395,85424,37513
6396,87586,45602
6398,77292,44504
6401,86040,62405
6403,68502,43675
6405,85609,43410
6407,90236,49628
6409,84094,36824
6410,89372,51390
6411,82663,30348
6415,87423,61053
6418,94205,47268
6420,110758,37538
6421,103605,32017
6423,50368,59924
6425,106159,21049
6426,93062,66577
6429,87406,73487
6430,103084,90447
6431,81364,64781
6432,96608,83127
6433,104826,84777
6436,77266,66793
6437,115096,111296
6438,84014,71381
6440,92414,74693
6442,109218,97221
6443,77796,66092
6444,146994,104113
6445,132410,23973
6446,135042,25063
6447,129001,31826
6448,94966,46242
6450,93135,59329
6460,87294,45642
6461,92927,36250
6466,79127,30240
6468,102146,45496
6472,66537,23202
6475,78298,45918
6477,79811,35536
6479,81085,44244
6485,95577,38916
6488,80132,36707
6490,73414,46295
6501,90553,65023
6502,86877,65264
6503,75338,52387
6504,86372,85211
6505,70428,34674
6507,102261,46381
6509,101299,58164
6510,87064,57734
6511,85291,40718
6512,78880,24422
6513,77161,42930
6514,94030,61890
6515,87277,39945
6516,92728,60169
6517,91013,48999
6518,67169,49434
6519,72073,54973
6521,79722,45056
6522,98201,43682
6525,95286,60204
6528,82461,50417
6530,89698,66173
6531,97561,65357
6532,90010,69043
6535,92293,50305
6536,83906,55085
6537,78402,62625
6556,91361,72206
6558,81568,66143
6560,81856,69666
6562,89802,72321
6564,92098,62568
6566,90515,64248
6567,85235,75158
6568,94462,42246
6569,85710,35570
6571,113539,47164
6575,85767,30402
6603,90003,53157
6606,67816,25054
6608,75360,33002
6609,84765,55249
6612,86810,37486
6620,43025,49566
6623,84637,54399
6630,80097,53089
6635,76717,61782
6638,87682,64386
6640,75062,62954
6642,89109,64759
6646,77415,63497
6701,79553,57762
6707,90732,71136
6710,124591,113043
6713,129369,116516
6714,115462,107932
6716,122635,123449
6718,77897,68778
6720,119939,114932
6721,122419,113264
6722,108702,102922
6725,88837,72206
6726,91080,73991
6728,85215,69875
6740,87946,71138
6743,90946,71819
6751,116090,112857
6753,110024,104137
6754,121510,119996
6760,93717,69900
6765,78472,66021
6770,81194,67557
6798,102382,84093
6799,78847,70232
6849,86104,40696
6850,177581,99788
6872,135477,86167
6892,104041,65902
6904,234156,76128
6910,153299,83756
6911,112738,49586
6913,108343,77182
6916,106915,73856
6917,106851,60808
6918,100265,78423
6919,93461,81921
6920,116495,81481
6922,131506,98016
6923,90050,58309
6924,98788,72100
6926,86035,41127
6929,164118,64256
6931,151559,113410
6932,122153,71295
6936,96963,69649
6943,96417,69041
6944,90674,52823
6946,91775,55579
6947,81642,54148
6951,138961,82825
6952,107003,79750
6953,146447,87317
6955,92077,67721
6959,117369,77826
6964,120746,47526
6979,243116,90903
6981,108565,80533
6984,119056,61458
6985,108242,96022
7000,93257,62412
7001,221748,43941
7002,94005,64788
7004,99345,61545
7005,115361,61797
7006,173280,62636
7007,98212,69207
7008,86254,63937
7009,70898,55848
7010,69238,54501
7011,71409,56855
7012,75820,58200
7015,83560,59855
7016,66564,53445
7017,78155,60853
7018,84223,60123
7019,69376,56188
7020,84680,59910
7021,84517,58222
7022,80325,56891
7023,89287,57437
7024,90251,58398
7025,89142,57968
7026,73664,55979
7027,68959,51602
7030,72339,56556
7050,82750,59535
7051,85915,57160
7052,86336,61435
7053,97645,63927
7054,82923,59465
7055,75031,55942
7109,75158,54674
7112,74148,47928
7113,75643,52881
7116,74639,51631
7117,74385,46219
7120,79861,46836
7140,72093,55637
7150,79489,54787
7155,83173,49910
7162,97366,48651
7163,75013,51147
7170,93826,64412
7171,75033,60054
7172,75512,56397
7173,76238,56529
7174,77574,54050
7175,76210,50061
7176,75131,53810
7177,67540,40747
7178,71060,51914
7179,73866,41388
7180,62003,35285
7182,68509,48554
7184,68993,46094
7185,81930,40000
7186,64301,43187
7187,70616,33278
7190,73325,46816
7209,95149,39160
7210,78579,50574
7211,78061,54321
7212,82414,54533
7213,71268,49107
7214,76524,57974
7215,73520,46266
7216,70418,40797
7248,68779,53371
7249,75706,57331
7250,84678,59664
7252,84424,59170
7253,75847,59029
7254,66508,57084
7255,77961,45290
7256,84531,50415
7258,97678,59757
7259,71285,53935
7260,70898,51570
7261,71705,38326
7262,73172,50314
7263,69161,44774
7264,67792,41624
7265,65625,44253
7267,73346,56756
7268,77447,59336
7270,76851,54300
7275,77849,55894
7276,71807,53649
7277,81344,60229
7290,72679,59300
7291,75873,60799
7292,72537,51297
7300,76194,58690
7301,76604,53444
7302,75904,52212
7303,75797,52311
7304,74156,50565
7305,71523,53854
7306,71976,52728
7307,80107,58277
7310,75220,56213
7315,75620,58003
7316,81629,61788
7320,80317,61863
7321,77170,60633
7322,77814,61703
7325,78214,59272
7330,73747,52494
7331,78784,55531
7467,81072,64735
7468,81527,61077
7469,124341,70848
7470,105301,90135
8007,147200,105617
9726,36971,25033
