postcode,zone,rating,annual_prod,rebate
1178,3.0,1.382,9.1,3185.0
1179,3.0,1.382,9.1,3185.0
1180,3.0,1.382,9.1,3185.0
1181,3.0,1.382,9.1,3185.0
1182,3.0,1.382,9.1,3185.0
1183,3.0,1.382,9.1,3185.0
1184,3.0,1.382,9.1,3185.0
1185,3.0,1.382,9.1,3185.0
1186,3.0,1.382,9.1,3185.0
1187,3.0,1.382,9.1,3185.0
1188,3.0,1.382,9.1,3185.0
1189,3.0,1.382,9.1,3185.0
1190,3.0,1.382,9.1,3185.0
1191,3.0,1.382,9.1,3185.0
1192,3.0,1.382,9.1,3185.0
1193,3.0,1.382,9.1,3185.0
1194,3.0,1.382,9.1,3185.0
1195,3.0,1.382,9.1,3185.0
1196,3.0,1.382,9.1,3185.0
1197,3.0,1.382,9.1,3185.0
1198,3.0,1.382,9.1,3185.0
1199,3.0,1.382,9.1,3185.0
1201,3.0,1.382,9.1,3185.0
1202,3.0,1.382,9.1,3185.0
1203,3.0,1.382,9.1,3185.0
1205,3.0,1.382,9.1,3185.0
1207,3.0,1.382,9.1,3185.0
1208,3.0,1.382,9.1,3185.0
1209,3.0,1.382,9.1,3185.0
1210,3.0,1.382,9.1,3185.0
1211,3.0,1.382,9.1,3185.0
1212,3.0,1.382,9.1,3185.0
1213,3.0,1.382,9.1,3185.0
1214,3.0,1.382,9.1,3185.0
1215,3.0,1.382,9.1,3185.0
1216,3.0,1.382,9.1,3185.0
1217,3.0,1.382,9.1,3185.0
1218,3.0,1.382,9.1,3185.0
1219,3.0,1.382,9.1,3185.0
1220,3.0,1.382,9.1,3185.0
1221,3.0,1.382,9.1,3185.0
1222,3.0,1.382,9.1,3185.0
1223,3.0,1.382,9.1,3185.0
1224,3.0,1.382,9.1,3185.0
1225,3.0,1.382,9.1,3185.0
1226,3.0,1.382,9.1,3185.0
1227,3.0,1.382,9.1,3185.0
1228,3.0,1.382,9.1,3185.0
1229,3.0,1.382,9.1,3185.0
1230,3.0,1.382,9.1,3185.0
1231,3.0,1.382,9.1,3185.0
1232,3.0,1.382,9.1,3185.0
1233,3.0,1.382,9.1,3185.0
1234,3.0,1.382,9.1,3185.0
1235,3.0,1.382,9.1,3185.0
1236,3.0,1.382,9.1,3185.0
1237,3.0,1.382,9.1,3185.0
1238,3.0,1.382,9.1,3185.0
1239,3.0,1.382,9.1,3185.0
1240,3.0,1.382,9.1,3185.0
1291,3.0,1.382,9.1,3185.0
1292,3.0,1.382,9.1,3185.0
1293,3.0,1.382,9.1,3185.0
1294,3.0,1.382,9.1,3185.0
1295,3.0,1.382,9.1,3185.0
1296,3.0,1.382,9.1,3185.0
1297,3.0,1.382,9.1,3185.0
1298,3.0,1.382,9.1,3185.0
1299,3.0,1.382,9.1,3185.0
1300,3.0,1.382,9.1,3185.0
1314,3.0,1.382,9.1,3185.0
1335,3.0,1.382,9.1,3185.0
1340,3.0,1.382,9.1,3185.0
1350,3.0,1.382,9.1,3185.0
1355,3.0,1.382,9.1,3185.0
1360,3.0,1.382,9.1,3185.0
1401,3.0,1.382,9.1,3185.0
1419,3.0,1.382,9.1,3185.0
1420,3.0,1.382,9.1,3185.0
1422,3.0,1.382,9.1,3185.0
1423,3.0,1.382,9.1,3185.0
1424,3.0,1.382,9.1,3185.0
1425,3.0,1.382,9.1,3185.0
1426,3.0,1.382,9.1,3185.0
1427,3.0,1.382,9.1,3185.0
1428,3.0,1.382,9.1,3185.0
1429,3.0,1.382,9.1,3185.0
1430,3.0,1.382,9.1,3185.0
1435,3.0,1.382,9.1,3185.0
1440,3.0,1.382,9.1,3185.0
1441,3.0,1.382,9.1,3185.0
1445,3.0,1.382,9.1,3185.0
1450,3.0,1.382,9.1,3185.0
1455,3.0,1.382,9.1,3185.0
1460,3.0,1.382,9.1,3185.0
1465,3.0,1.382,9.1,3185.0
1466,3.0,1.382,9.1,3185.0
1470,3.0,1.382,9.1,3185.0
1475,3.0,1.382,9.1,3185.0
1476,3.0,1.382,9.1,3185.0
1480,3.0,1.382,9.1,3185.0
1481,3.0,1.382,9.1,3185.0
1484,3.0,1.382,9.1,3185.0
1485,3.0,1.382,9.1,3185.0
1490,3.0,1.382,9.1,3185.0
1493,3.0,1.382,9.1,3185.0
1495,3.0,1.382,9.1,3185.0
1499,3.0,1.382,9.1,3185.0
1515,3.0,1.382,9.1,3185.0
1560,3.0,1.382,9.1,3185.0
1565,3.0,1.382,9.1,3185.0
1570,3.0,1.382,9.1,3185.0
1585,3.0,1.382,9.1,3185.0
1590,3.0,1.382,9.1,3185.0
