postcode,installations,output,suburb_id,suburb,state,long,lat
822,880,9240.174,20004,EVA VALLEY,NT,131.00314740000002,-13.12725377
822,880,9240.174,20005,FINNISS VALLEY,NT,130.9517827,-13.06448685
822,880,9240.174,20006,FLY CREEK,NT,131.0700157,-12.79587253
822,880,9240.174,20007,FREDS PASS,NT,131.05152579999998,-12.53862952
822,880,9240.174,20008,GALIWINKU,NT,135.5864427,-12.00777086
822,880,9240.174,20009,GLYDE POINT,NT,131.0799794,-12.17971082
822,880,9240.174,295,GOULBOURN ISLAND,NT,136.947051,-13.643282999999998
822,880,9240.174,20010,GOULBURN ISLAND,NT,133.4548484,-11.497306800000002
822,880,9240.174,20011,GUNBALANYA,NT,133.0492311,-12.34692447
822,880,9240.174,296,GUNN POINT,NT,136.947051,-13.643282999999998
822,880,9240.174,297,HAYES CREEK,NT,136.947051,-13.643282999999998
822,880,9240.174,20012,HIDDEN VALLEY,NT,130.9036719,-12.45024526
822,880,9240.174,20013,HOTHAM,NT,131.4058522,-12.34404225
822,880,9240.174,20014,HUGHES,NT,131.1007772,-12.68638471
822,880,9240.174,20015,KAKADU,NT,132.4751149,-12.866247300000001
822,880,9240.174,20016,KOOLPINYAH,NT,131.2102168,-12.37090569
822,880,9240.174,20017,LAKE BENNETT,NT,131.19447069999998,-12.93083352
822,880,9240.174,299,LAMBELLS LAGOON,NT,136.947051,-13.643282999999998
822,880,9240.174,20018,LITCHFIELD PARK,NT,130.8462398,-13.25317338
822,880,9240.174,300,LIVINGSTONE,NT,136.947051,-13.643282999999998
822,880,9240.174,20019,LLOYD CREEK,NT,131.14576680000002,-12.66634037
822,880,9240.174,20020,MANDORAH,NT,130.7615787,-12.44295777
822,880,9240.174,301,MANINGRIDA,NT,136.947051,-13.643282999999998
822,880,9240.174,20021,MARANUNGA,NT,130.7085705,-13.70834554
822,880,9240.174,20022,MARGARET RIVER,NT,131.35740520000002,-13.19932137
822,880,9240.174,302,MCMINNS LAGOON,NT,136.947051,-13.643282999999998
822,880,9240.174,20023,MICKETT CREEK,NT,130.951697,-12.379529
822,880,9240.174,303,MIDDLE POINT,NT,136.947051,-13.643282999999998
822,880,9240.174,20024,MILINGIMBI,NT,134.9172943,-12.10344037
822,880,9240.174,305,MILLWOOD,NT,136.947051,-13.643282999999998
822,880,9240.174,20025,MILYAKBURRA,NT,136.202001,-13.77934879
822,880,9240.174,20026,MINJILANG,NT,132.57248130000002,-11.14470594
822,880,9240.174,20027,MOUNT BUNDEY,NT,131.751956,-13.02955913
822,880,9240.174,20028,MURRUMUJUK,NT,131.0779057,-12.29096291
822,880,9240.174,20029,NAUIYU,NT,130.73105420000002,-13.72157548
822,880,9240.174,20030,NEMARLUK,NT,130.4543865,-14.62289167
822,880,9240.174,20031,NGANMARRIYANGA,NT,129.8834932,-14.33497868
822,880,9240.174,307,NGUIU,NT,136.947051,-13.643282999999998
822,880,9240.174,20032,NUMBULWAR,NT,135.727696,-14.28113146
822,880,9240.174,20033,NUMBURINDI,NT,135.7946389,-13.95994028
822,880,9240.174,308,OENPELLI,NT,136.947051,-13.643282999999998
822,880,9240.174,20034,PEPPIMENARTI,NT,130.082796,-14.145697699999998
822,880,9240.174,20035,PIRLANGIMPI,NT,130.42146780000002,-11.39026066
822,880,9240.174,309,POINT STEPHENS,NT,136.947051,-13.643282999999998
822,880,9240.174,20036,POINT STUART,NT,131.8321645,-12.54034189
822,880,9240.174,310,PULARUMPI,NT,136.947051,-13.643282999999998
822,880,9240.174,311,PULUMPA,NT,136.947051,-13.643282999999998
822,880,9240.174,20037,RAKULA,NT,130.3707089,-13.05159634
822,880,9240.174,20038,RAMINGINING,NT,134.92591519999996,-12.32899612
822,880,9240.174,20039,ROBIN FALLS,NT,131.1214742,-13.38650542
822,880,9240.174,20040,RUM JUNGLE,NT,131.0198663,-12.99988524
822,880,9240.174,20041,SANDPALMS ROADHOUSE,NT,133.38483190000002,-12.9305044
822,880,9240.174,313,SOUTHPORT,NT,136.947051,-13.643282999999998
822,880,9240.174,20042,STAPLETON,NT,131.0258358,-13.18414806
822,880,9240.174,20043,THAMARRURR,NT,129.63996770000003,-14.20132457
822,880,9240.174,20044,TIPPERARY,NT,130.619275,-14.03882235
822,880,9240.174,20045,TIVENDALE,NT,130.9502272,-12.46528731
822,880,9240.174,20046,TIWI ISLANDS,NT,131.18750590000002,-11.51399925
822,880,9240.174,20047,TORTILLA FLATS,NT,131.1778852,-13.08686447
822,880,9240.174,20048,TUMBLING WATERS,NT,130.9609622,-12.75687265
822,880,9240.174,315,UMBAKUMBA,NT,136.947051,-13.643282999999998
822,880,9240.174,20049,VERNON ISLANDS,NT,131.0936969,-12.05953061
822,880,9240.174,316,VIRGINIA,NT,136.947051,-13.643282999999998
822,880,9240.174,317,WADEYE,NT,136.947051,-13.643282999999998
822,880,9240.174,318,WAGAIT BEACH,NT,136.947051,-13.643282999999998
822,880,9240.174,20050,WAK WAK,NT,131.23697099999998,-12.66325075
822,880,9240.174,20051,WARRUWI,NT,133.37825420000001,-11.65786276
822,880,9240.174,319,WEDDELL,NT,136.947051,-13.643282999999998
822,880,9240.174,20052,WEST ARNHEM,NT,133.6471255,-12.25508592
822,880,9240.174,20053,WICKHAM,NT,130.9100115,-12.54731927
822,880,9240.174,320,WINNELLIE,NT,136.947051,-13.643282999999998
822,880,9240.174,20054,WISHART,NT,130.93210249999998,-12.45712713
822,880,9240.174,321,WOOLANING,NT,136.947051,-13.643282999999998
822,880,9240.174,20055,WURRUMIYANGA,NT,130.6254299,-11.75841975
828,241,3502.241,322,BERRIMAH,NT,130.932068,-12.432024
828,241,3502.241,323,KNUCKEY LAGOON,NT,130.932068,-12.432024
829,36,890.88,20056,PINELANDS,NT,130.9597671,-12.45763297
830,1942,12319.124,20057,ARCHER,NT,130.95807649999998,-12.52139649
830,1942,12319.124,326,DRIVER,NT,130.97487900000002,-12.475071
830,1942,12319.124,327,DURACK,NT,130.97487900000002,-12.475071
830,1942,12319.124,328,FARRAR,NT,130.97487900000002,-12.475071
830,1942,12319.124,329,GRAY,NT,130.97487900000002,-12.475071
830,1942,12319.124,330,MARLOW LAGOON,NT,130.97487900000002,-12.475071
830,1942,12319.124,331,MOULDEN,NT,130.97487900000002,-12.475071
830,1942,12319.124,332,PALMERSTON,NT,130.97487900000002,-12.475071
830,1942,12319.124,333,SHOAL BAY,NT,130.97487900000002,-12.475071
830,1942,12319.124,334,WOODROFFE,NT,130.97487900000002,-12.475071
830,1942,12319.124,335,YARRAWONGA,NT,130.97487900000002,-12.475071
831,9,38.98,336,PALMERSTON,NT,130.97487900000002,-12.475071
832,2255,13486.133999999998,20058,BAKEWELL,NT,130.99365509999998,-12.49684676
832,2255,13486.133999999998,20059,BELLAMACK,NT,130.9830307,-12.51562954
832,2255,13486.133999999998,339,GUNN,NT,130.95771200000001,-12.502817
832,2255,13486.133999999998,20060,JOHNSTON,NT,131.00635060000002,-12.49297483
832,2255,13486.133999999998,340,MITCHELL,NT,130.95771200000001,-12.502817
832,2255,13486.133999999998,341,ROSEBERY,NT,130.95771200000001,-12.502817
832,2255,13486.133999999998,342,ROSEBERY HEIGHTS,NT,130.95771200000001,-12.502817
832,2255,13486.133999999998,20061,ZUCCOLI,NT,131.0058233,-12.51070433
834,234,1703.882,20062,VIRGINIA,NT,131.0234875,-12.54686461
835,493,3265.188,21821,Coolalinga,NT,131.0415,-12.5231
835,493,3265.188,343,HOWARD SPRINGS,NT,131.01374099999998,-12.452568
835,493,3265.188,344,VIRGINIA,NT,131.01374099999998,-12.452568
836,1169,8048.071,345,HERBERT,NT,131.10066799999998,-12.557754
836,1169,8048.071,20063,HUMPTY DOO,NT,131.1272564,-12.58487247
837,62,593.011,347,MANTON,NT,131.016647,-12.704767
837,62,593.011,20064,NOONAMAH,NT,131.094044,-12.64187171
838,120,945.4019999999999,349,BERRY SPRINGS,NT,131.0067348,-12.71878122
839,22,431.125,20065,COOLALINGA,NT,131.0402017,-12.52001124
840,112,690.005,350,DUNDEE BEACH,NT,130.3529386,-12.72451307
840,112,690.005,351,DUNDEE DOWNS,NT,130.5109414,-12.76554875
840,112,690.005,352,DUNDEE FOREST,NT,130.4518371,-12.71366907
841,68,724.58,353,DARWIN RIVER,NT,130.969862,-12.81922863
845,72,599.136,354,BATCHELOR,NT,131.038475,-13.045117999999999
846,45,304.995,355,ADELAIDE RIVER,NT,131.095002,-13.210299
847,21,265.305,356,PINE CREEK,NT,131.759154,-14.012122
850,801,6357.314,20066,COSSACK,NT,132.17210409999998,-14.46369137
850,801,6357.314,20067,EMUNGALAN,NT,132.2418315,-14.416106699999998
850,801,6357.314,357,KATHERINE,NT,132.365352,-14.195910999999999
850,801,6357.314,20068,KATHERINE EAST,NT,132.2874375,-14.46576308
850,801,6357.314,20069,KATHERINE SOUTH,NT,132.2598385,-14.48180579
850,801,6357.314,20070,LANSDOWNE,NT,132.3888705,-14.43162875
851,46,325.375,358,KATHERINE,NT,137.050719,-15.711424
852,152,1899.72,20071,ARNOLD,NT,134.37698980000002,-16.07839
852,152,1899.72,20072,BAINES,NT,129.4842959,-15.90897497
852,152,1899.72,20073,BARUNGA,NT,132.8673924,-14.52664756
852,152,1899.72,360,BESWICK,NT,137.050719,-15.711424
852,152,1899.72,20074,BESWICK CREEK,NT,133.3001701,-14.43207837
852,152,1899.72,20075,BINJARI,NT,132.1841678,-14.5501072
852,152,1899.72,20076,BIRDUM,NT,133.5378622,-16.23196977
852,152,1899.72,20077,BRADSHAW,NT,130.534439,-15.09737856
852,152,1899.72,20078,BUCHANAN,NT,129.62082959999998,-17.80951107
852,152,1899.72,20079,BULMAN WEEMOL,NT,134.3037985,-13.65022603
852,152,1899.72,20080,CRESWELL,NT,135.80762019999997,-17.82741422
852,152,1899.72,20081,DAGURAGU,NT,130.80210870000002,-17.41926848
852,152,1899.72,361,DALY WATERS,NT,137.050719,-15.711424
852,152,1899.72,20082,DELAMERE,NT,131.6691884,-15.4019318
852,152,1899.72,362,DUNMARRA,NT,137.050719,-15.711424
852,152,1899.72,20083,EDITH,NT,131.8172473,-13.99360017
852,152,1899.72,363,EDITH RIVER,NT,137.050719,-15.711424
852,152,1899.72,20084,ELSEY,NT,133.54683400000002,-15.07384438
852,152,1899.72,364,ELSEY STATION,NT,137.050719,-15.711424
852,152,1899.72,20085,FLORINA,NT,131.9083299,-14.5152899
852,152,1899.72,20086,FLYING FOX,NT,134.1976975,-14.15932656
852,152,1899.72,20087,GREGORY,NT,130.3336523,-16.34525224
852,152,1899.72,20088,GULUNG MARDRULK,NT,133.56362109999998,-13.53798419
852,152,1899.72,20089,GURINDJI,NT,131.0885202,-18.22634802
852,152,1899.72,22843,HELEN SPRINGS STATION,NT,0.0,0.0
852,152,1899.72,20090,JILKMINGGAN,NT,133.29284199999998,-14.96147762
852,152,1899.72,20091,KALKARINDJI,NT,130.832639,-17.44449505
