Postcode,Installation,Output
0,0,0
200,0,0
800,0,0
801,0,0
803,0,0
804,0,0
810,35,47.31
811,0,0
812,28,48.69
813,0,0
814,0,0
820,2,2.34
821,0,0
822,12,82.825
828,1,1.02
829,0,0
830,26,40.3
831,0,0
832,9,12.2
834,0,0
835,6,9.88
836,16,25.392
837,1,2.04
838,2,2.04
839,0,0
840,0,0
841,0,0
845,2,2.93
846,1,6.3
847,0,0
850,9,8.46
851,0,0
852,3,31.5
853,0,0
854,0,0
860,1,5.6
861,0,0
862,0,0
870,56,140.19
871,1,1.98
872,4,39.05
873,0,0
874,0,0
875,0,0
880,0,0
881,0,0
885,0,0
886,0,0
1340,0,0
1355,1,1.02
1435,0,0
1460,0,0
1470,0,0
1475,0,0
1480,0,0
1485,0,0
1490,0,0
1495,0,0
1570,0,0
1595,0,0
1630,0,0
1655,0,0
1658,0,0
1660,0,0
1670,0,0
1680,0,0
1710,0,0
1715,0,0
1730,0,0
1741,0,0
1755,0,0
1765,0,0
1790,0,0
1800,0,0
1805,0,0
1830,0,0
1835,0,0
1848,0,0
1860,0,0
1871,0,0
1875,0,0
1885,0,0
1890,0,0
2000,0,0
2007,0,0
2008,2,19.33
2009,0,0
2010,3,3.57
2011,3,3.03
2015,5,7.48
2016,3,4.42
2017,1,1.02
2018,5,5.445
2019,12,14.752
2020,7,8.19
2021,5,6.775
2022,5,6.085
2023,6,26.125
2024,7,12.795
2025,2,2.55
2026,21,30.065
2027,3,3.03
2028,1,1.36
2029,3,3
2030,4,5.17
2031,19,33.96
2032,4,5.61
2033,6,9.41
2034,5,9.05
2035,31,76.58
2036,23,28.29
2037,7,12.88
2038,7,8.49
2039,4,4.3
2040,20,31.57
2041,10,12.55
2042,16,29.375
2043,2,3.06
2044,13,24.052
2045,5,6.19
2046,21,28.23
2047,6,5.81
2048,8,8.1
2049,13,27.7
2050,1,1.3
2055,0,0
2057,0,0
2059,0,0
2060,8,18.55
2061,2,10.71
2062,4,6.48
2063,4,6.55
2064,3,3.13
2065,12,24.545
2066,25,40.625
2067,11,20.01
2068,17,20.65
2069,6,8.67
2070,14,29.09
2071,10,13.295
2072,5,6.87
2073,11,15.3
2074,16,29.785
2075,13,24.19
2076,28,44.167
