Postcode,Installation,Output
0,0,0
200,0,0
800,2,5.26
801,1,2.02
803,0,0
804,1,6.02
810,46,166.39
811,0,0
812,31,91.475
813,0,0
814,1,5.16
820,14,40.39
821,0,0
822,19,167.486
828,1,9.88
829,0,0
830,53,132.715
831,1,3.24
832,32,83.61
834,0,0
835,17,60.95
836,21,74.88
837,1,1.5
838,2,4.44
839,0,0
840,0,0
841,3,7.035
845,1,4.14
846,1,2.25
847,0,0
850,11,108.615
851,5,11.495
852,1,1.575
853,0,0
854,0,0
860,2,27.816
861,1,3.04
862,0,0
870,115,460.445
871,7,133.07
872,3,76.03
873,0,0
874,0,0
875,0,0
880,5,100.737
881,1,1.48
885,0,0
886,2,10.34
1340,1,1.14
1355,0,0
1435,0,0
1460,0,0
1470,0,0
1475,0,0
1480,0,0
1485,0,0
1490,1,1.51
1495,0,0
1570,0,0
1595,0,0
1630,0,0
1655,0,0
1658,0,0
1660,0,0
1670,1,4.44
1680,1,4.18
1710,0,0
1715,0,0
1730,1,2
1741,0,0
1755,0,0
1765,2,3.04
1790,0,0
1800,0,0
1805,0,0
1830,0,0
1835,1,1.14
1848,0,0
1860,1,1.52
1871,1,1.52
1875,0,0
1885,3,8.14
1890,1,1.5
2000,4,68.21
2007,4,25.34
2008,5,7.56
2009,4,7.52
2010,23,77.493
2011,5,32.41
2015,21,46.25
2016,17,32.44
2017,3,14.21
2018,49,105.625
2019,43,116.66
2020,64,123.6
2021,22,43.34
2022,27,63.074
2023,19,68.594
2024,26,55.06
2025,20,54.469
2026,57,130.093
2027,6,19.27
2028,3,18.92
2029,16,51.75
2030,38,87.417
2031,99,231.165
2032,48,118.099
2033,28,78.395
2034,53,124.428
2035,143,291.75
2036,135,298.98
2037,31,68.175
2038,31,70.022
2039,38,88.7
2040,94,216.285
2041,43,90.599
2042,56,143.501
2043,19,34.354
2044,41,76.243
2045,31,86.05
2046,109,226.462
2047,40,92.194
2048,25,57.815
2049,43,91.774
2050,18,45.529
2055,0,0
2057,2,3.42
2059,1,8.36
2060,22,73.69
2061,3,21.24
2062,9,19.105
2063,36,70.69
2064,36,72
2065,89,164.429
2066,137,326.83
2067,96,224.339
2068,95,214.184
2069,96,234.319
2070,74,170.6
