Postcode,Installation,Output
0,0,0
200,0,0
800,3,48.49
801,0,0
803,0,0
804,0,0
810,77,661.14
811,0,0
812,42,344.49
813,0,0
814,1,5.18
820,38,489.27
821,0,0
822,22,187.79
828,22,274.28
829,2,18.5
830,44,342.745
831,0,0
832,51,344.725
834,9,95.355
835,12,78.68
836,30,247.495
837,2,18.49
838,3,53
839,1,6.6
840,3,17.72
841,0,0
845,2,14.9
846,2,13.26
847,0,0
850,27,192.345
851,0,0
852,2,20.35
853,0,0
854,1,30
860,2,39.44
861,0,0
862,0,0
870,40,387.095
871,0,0
872,17,285.29
873,2,13.29
874,1,6.29
875,3,20.24
880,0,0
881,0,0
885,0,0
886,0,0
1340,0,0
1355,0,0
1435,0,0
1460,0,0
1470,0,0
1475,0,0
1480,0,0
1485,0,0
1490,0,0
1495,0,0
1560,0,0
1570,0,0
1595,0,0
1630,0,0
1640,0,0
1655,0,0
1658,0,0
1660,0,0
1670,0,0
1680,0,0
1685,1,4.8
1710,0,0
1715,0,0
1730,0,0
1741,0,0
1755,0,0
1765,0,0
1790,0,0
1800,0,0
1805,0,0
1830,0,0
1835,0,0
1848,0,0
1860,0,0
1871,0,0
1875,0,0
1885,0,0
1890,0,0
2000,1,64.8
2007,0,0
2008,5,26.765
2009,0,0
2010,13,103.5
2011,5,57.7
2015,19,779.4
2016,1,35.04
2017,1,6.63
2018,34,232.37
2019,38,348.03
2020,34,220.475
2021,16,202.9
2022,21,137.75
2023,15,131.525
2024,21,160.04
2025,6,50.43
2026,49,365.795
2027,2,11.425
2028,6,105.41
2029,15,126.15
2030,24,216.375
2031,49,397.63
2032,23,165.12
2033,17,164.53
2034,37,292.925
2035,90,738.13
2036,124,843.88
2037,23,161.94
2038,17,89.23
2039,13,79.515
2040,54,294.285
2041,33,207.137
2042,23,118.49
2043,8,42.675
2044,24,233.505
2045,23,201.965
2046,61,446.99
2047,18,135.405
2048,16,110.065
2049,20,122.94
2050,5,27.65
2055,0,0
2057,1,32.56
2059,0,0
2060,12,62
2061,0,0
2062,10,61.92
2063,36,314.24
2064,14,165.67
2065,49,448.515
2066,76,712.135
2067,35,254.44
2068,80,619.15
2069,58,494.19
2070,58,501.025
2071,42,375.615
