Postcode,Installation,Output
0,0,0
200,0,0
800,6,41.045
801,0,0
803,0,0
804,2,10.595
810,171,951.66
811,2,9
812,71,298.522
813,1,59.8
814,0,0
820,46,463.975
821,1,9.88
822,35,207.695
828,7,196.61
829,2,13.95
830,96,419.26
831,0,0
832,69,302.165
834,16,74.045
835,24,117.315
836,87,456.785
837,5,24.96
838,9,45.095
839,0,0
840,6,28.505
841,1,6
845,9,46.855
846,1,3
847,2,39.485
850,63,558.225
851,7,30.34
852,5,53.5
853,0,0
854,1,5
860,14,81.25
861,1,18
862,0,0
870,255,1474.065
871,2,7.5
872,5,39.85
873,3,22
874,1,4.5
875,0,0
880,0,0
881,0,0
885,0,0
886,0,0
1340,0,0
1355,0,0
1435,0,0
1460,0,0
1470,0,0
1475,0,0
1480,0,0
1485,0,0
1490,0,0
1495,1,4.75
1570,0,0
1595,0,0
1630,0,0
1655,0,0
1658,0,0
1660,0,0
1670,0,0
1680,0,0
1710,0,0
1715,0,0
1730,1,4
1741,0,0
1755,0,0
1765,1,3.5
1790,0,0
1800,0,0
1805,0,0
1830,0,0
1835,0,0
1848,0,0
1860,0,0
1871,0,0
1875,0,0
1885,0,0
1890,0,0
2000,4,52.037
2007,1,4.75
2008,6,60.21
2009,0,0
2010,10,35.313
2011,1,1.5
2015,10,227.495
2016,9,25.849
2017,3,8.9
2018,13,59.22
2019,22,424.81
2020,21,198.15
2021,5,32.03
2022,16,68.709
2023,17,79.621
2024,15,77.19
2025,5,20.3
2026,33,112.564
2027,7,52.19
2028,1,4
2029,8,33.02
2030,24,105.168
2031,29,182.794
2032,12,44.76
2033,7,31.78
2034,17,65.244
2035,51,184.11
2036,63,293.46
2037,27,139.094
2038,22,77.285
2039,14,116.587
2040,56,182.816
2041,31,126.73
2042,28,82.001
2043,7,20.53
2044,28,119.423
2045,10,63.13
2046,42,139.047
2047,7,32.31
2048,10,141.595
2049,21,131.28
2050,5,17.36
2055,0,0
2057,1,2.82
2059,0,0
2060,3,19.25
2061,0,0
2062,10,32.059
2063,17,83.947
2064,17,107.031
2065,38,143.779
2066,80,331.891
2067,33,113.043
2068,42,203.2
2069,34,171.976
2070,32,136.18
2071,27,163.613
2072,15,151.225
2073,48,214.991
