Postcode,Installation,Output
0,0,0
200,0,0
800,5,281.89
801,1,24.84
803,1,5.565
804,1,4.59
810,394,2740.676
811,0,0
812,195,1334.257
813,0,0
814,0,0
820,126,1497.383
821,0,0
822,102,1505.306
828,32,447.996
829,3,102.85
830,180,1106.699
831,0,0
832,320,1946.518
834,32,220.071
835,50,345.36
836,105,730.726
837,5,37.285
838,12,81.232
839,2,101.615
840,12,63.21
841,10,51.925
845,3,19.17
846,5,32.64
847,2,12.06
850,40,467.138
851,0,0
852,9,124.425
853,0,0
854,2,9.54
860,0,0
861,0,0
862,11,101.24
870,231,1533.874
871,0,0
872,17,303.376
873,19,95.602
874,1,5.4
875,22,110.266
880,0,0
881,0,0
885,0,0
886,0,0
1340,0,0
1355,0,0
1435,0,0
1460,0,0
1470,1,4.29
1475,1,4.86
1480,0,0
1485,0,0
1490,0,0
1495,0,0
1560,0,0
1570,0,0
1595,0,0
1630,0,0
1640,0,0
1655,0,0
1658,0,0
1660,0,0
1670,0,0
1680,0,0
1710,0,0
1715,0,0
1730,0,0
1741,0,0
1755,1,3.12
1765,0,0
1790,0,0
1800,0,0
1805,0,0
1830,0,0
1835,0,0
1848,0,0
1860,0,0
1871,0,0
1875,0,0
1885,0,0
1890,0,0
2000,20,357.396
2007,0,0
2008,0,0
2009,2,104.4
2010,16,284.405
2011,1,19.84
2015,24,245.975
2016,10,150.63
2017,3,119.43
2018,13,53.415
2019,18,191.8
2020,16,120.735
2021,15,152.42
2022,14,70.62
2023,18,141.57
2024,34,225.129
2025,9,39.945
2026,40,205.255
2027,5,26.88
2028,3,15.84
2029,10,58.261
2030,37,336.752
2031,41,289.029
2032,23,116.553
2033,10,60.799
2034,28,132.504
2035,57,293.14
2036,53,364.213
2037,27,131.49
2038,23,104.805
2039,20,89.16
2040,50,232.067
2041,29,130.41
2042,40,216.89
2043,5,31.62
2044,27,209.7
2045,27,224.359
2046,44,272.635
2047,17,84.613
2048,10,47.748
2049,17,74.993
2050,13,221.47
2055,0,0
2057,0,0
2059,0,0
2060,13,82.54
2061,0,0
2062,16,91.705
2063,30,191.315
2064,22,356.735
2065,31,145.15
2066,84,560.16
2067,45,340.924
2068,53,291.695
2069,45,265.251
2070,39,237.505
