Postcode,Installation,Output
0,0,0
200,0,0
800,6,208.07
801,1,66.708
803,0,0
804,0,0
810,366,2193.606
811,0,0
812,126,733.806
813,1,3
814,0,0
820,90,1099.667
821,2,104.313
822,82,1064.033
828,25,275.81
829,8,201.59
830,166,858.309
831,1,6.095
832,252,1355.111
834,16,92.015
835,29,136.185
836,82,532.707
837,9,92.27
838,7,45.005
839,1,4.505
840,19,98.14
841,6,33.44
845,8,166.025
846,9,67.52
847,0,0
850,74,469.525
851,9,57.29
852,14,129.89
853,1,2.65
854,0,0
860,19,117.593
861,0,0
862,4,38.375
870,235,1689.291
871,2,10.62
872,17,292.55
873,19,89.176
874,2,10.71
875,22,93.677
880,11,75.06
881,0,0
885,3,123.76
886,1,59.84
1340,0,0
1355,0,0
1435,0,0
1460,1,4.75
1470,0,0
1475,0,0
1480,0,0
1485,0,0
1490,0,0
1495,0,0
1570,0,0
1595,0,0
1630,1,3
1655,0,0
1658,0,0
1660,0,0
1670,0,0
1680,0,0
1710,1,4.8
1715,0,0
1730,0,0
1741,0,0
1755,0,0
1765,1,3.78
1790,1,74.88
1800,0,0
1805,0,0
1830,0,0
1835,0,0
1848,0,0
1860,0,0
1871,0,0
1875,0,0
1885,0,0
1890,0,0
2000,2,49.66
2007,1,30.16
2008,13,282.233
2009,2,53.28
2010,10,164.95
2011,3,11.74
2015,20,274.485
2016,7,30.71
2017,5,38.635
2018,38,226.172
2019,10,71.94
2020,19,312.835
2021,16,167.326
2022,15,148.253
2023,23,178.675
2024,20,127.554
2025,8,61.05
2026,34,169.595
2027,8,78.354
2028,4,21.715
2029,11,53.79
2030,23,213.696
2031,33,173.705
2032,11,50.55
2033,9,49.91
2034,16,80.895
2035,35,171.095
2036,45,245.91
2037,15,68.867
2038,21,78.98
2039,7,27.805
2040,48,420.97
2041,23,107.521
2042,34,301.315
2043,8,33.275
2044,24,145.597
2045,13,51.41
2046,39,212.89
2047,11,39.98
2048,9,31.95
2049,15,119.26
2050,12,222.53
2055,0,0
2057,0,0
2059,1,5
2060,12,173.685
2061,3,21.924
2062,6,26.49
2063,16,157.8
2064,19,145.28
2065,36,243.167
2066,48,314.395
2067,31,155.21
2068,31,161.1
2069,29,182.393
