Postcode,Installation,Output
0,0,0
200,0,0
800,2,19.2
801,0,0
803,0,0
804,0,0
810,0,0
811,0,0
812,0,0
813,0,0
814,0,0
820,0,0
821,0,0
822,3,18.9
828,0,0
829,0,0
830,0,0
831,0,0
832,0,0
834,0,0
835,0,0
836,0,0
837,0,0
838,0,0
839,0,0
840,1,2.56
841,0,0
845,0,0
846,1,2.56
847,0,0
850,0,0
851,1,1.53
852,4,34.42
853,0,0
854,0,0
860,0,0
861,0,0
862,0,0
870,0,0
871,4,36.495
872,8,61.51
873,0,0
874,0,0
875,0,0
880,2,2.58
881,0,0
885,0,0
886,0,0
1340,0,0
1355,0,0
1435,0,0
1460,0,0
1470,0,0
1475,0,0
1480,0,0
1485,0,0
1490,0,0
1495,0,0
1570,0,0
1595,0,0
1630,0,0
1655,0,0
1658,0,0
1660,0,0
1670,0,0
1680,0,0
1710,0,0
1715,0,0
1730,0,0
1741,0,0
1755,0,0
1765,0,0
1790,0,0
1800,0,0
1805,0,0
1830,0,0
1835,0,0
1848,0,0
1860,0,0
1871,0,0
1875,0,0
1885,0,0
1890,0,0
2000,0,0
2007,0,0
2008,1,1.08
2009,1,2.4
2010,0,0
2011,0,0
2015,2,2.01
2016,1,1.002
2017,0,0
2018,0,0
2019,0,0
2020,0,0
2021,4,6.68
2022,2,3.16
2023,0,0
2024,2,2.91
2025,0,0
2026,3,7.4
2027,0,0
2028,0,0
2029,1,2.31
2030,1,2.64
2031,0,0
2032,0,0
2033,0,0
2034,2,2.13
2035,1,0.96
2036,1,1.05
2037,1,1.32
2038,3,4.044
2039,1,1.05
2040,1,1.02
2041,5,7.113
2042,3,4.154
2043,0,0
2044,0,0
2045,0,0
2046,0,0
2047,0,0
2048,0,0
2049,0,0
2050,0,0
2055,0,0
2057,0,0
2059,0,0
2060,4,3.31
2061,0,0
2062,0,0
2063,4,7.47
2064,0,0
2065,2,6.105
2066,6,7.63
2067,1,1.75
2068,6,9.79
2069,3,4.84
2070,2,3.99
2071,4,6.85
2072,0,0
2073,2,2.855
2074,3,2.982
2075,0,0
2076,2,6.09
2077,3,9.16
2079,0,0
2080,0,0
2081,4,6.43
2082,0,0
2083,1,1.55
2084,2,3.005
2085,2,2.577
