Postcode,Installation_2001,Output_2001,Installation_2002,Output_2002,Installation_2003,Output_2003,Installation_2004,Output_2004,Installation_2005,Output_2005,Installation_2006,Output_2006,Installation_2007,Output_2007,Installation_2008,Output_2008,Installation_2009,Output_2009,Installation_2010,Output_2010,Installation_2011,Output_2011,Installation_2012,Output_2012,Installation_2013,Output_2013,Installation_2014,Output_2014,Installation_2015,Output_2015,Installation_2016,Output_2016,Installation_2017,Output_2017,Installation_2018,Output_2018,Installation_2019,Output_2019,Installation_2020,Output_2020,Installation_2021,Output_2021
841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.14,3.0,7.035,0.0,0.0,0.0,0.0,1.0,6.0,4.0,12.24,6.0,33.44,10.0,51.925,10.0,247.795,18.0,148.95,14,213.055,0,0.0
845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.62,2.0,2.93,2.0,3.81,1.0,4.14,3.0,48.361,8.0,35.56,9.0,46.855,8.0,42.845,8.0,166.025,3.0,19.17,9.0,108.19,5.0,27.89,8,73.84,2,14.9
846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.8,1.0,2.56,0.0,0.0,1.0,6.3,4.0,8.86,1.0,2.25,0.0,0.0,2.0,8.0,1.0,3.0,6.0,25.4,9.0,67.52,5.0,32.64,3.0,54.43,6.0,54.89,3,21.085,2,13.26
847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.84,2.0,89.5,2.0,39.485,2.0,9.01,0.0,0.0,2.0,12.06,2.0,12.96,1.0,6.49,9,88.96,0,0.0
850,0.0,0.0,0.0,0.0,1.0,2.56,0.0,0.0,2.0,19.6,1.0,10.5,0.0,0.0,1.0,6.6,9.0,8.46,15.0,23.875,11.0,108.615,1.0,4.32,31.0,164.07,63.0,558.225,103.0,1110.355,74.0,469.525,40.0,467.138,66.0,575.081,106.0,1163.55,250,1472.495,27,192.345
851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.56,1.0,1.53,1.0,5.8,0.0,0.0,5.0,12.365,5.0,11.495,2.0,14.82,5.0,25.5,7.0,30.34,8.0,59.035,9.0,57.29,0.0,0.0,1.0,39.44,0.0,0.0,1,61.2,0,0.0
852,1.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,25.28,3.0,21.33,4.0,34.42,9.0,24.43,3.0,31.5,4.0,53.5,1.0,1.575,5.0,32.63,8.0,56.97,5.0,53.5,1.0,5.0,14.0,129.89,9.0,124.425,16.0,394.89,27.0,297.5,35,589.03,2,20.35
853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,1.0,11.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.41,0.0,0.0,1.0,5.0,1.0,60.32,0.0,0.0,2.0,9.54,0.0,0.0,1.0,36.48,3,19.8,1,30.0
860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.6,1.0,14.0,2.0,27.816,0.0,0.0,20.0,104.43,14.0,81.25,29.0,127.0,19.0,117.593,0.0,0.0,0.0,0.0,24.0,145.69,10,73.68,2,39.44
861,0.0,0.0,0.0,0.0,1.0,0.6,7.0,13.68,0.0,0.0,3.0,22.685,0.0,0.0,2.0,32.25,0.0,0.0,0.0,0.0,1.0,3.04,0.0,0.0,2.0,12.24,1.0,18.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,15.1,0,0.0
862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.635,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.13,0.0,0.0,2.0,21.75,1.0,7.0,0.0,0.0,1.0,4.5,4.0,38.375,11.0,101.24,1.0,5.4,5.0,78.3,6,73.26,0,0.0
870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,117.7,56.0,140.19,197.0,492.155,115.0,460.445,172.0,625.357,271.0,1298.365,255.0,1474.065,261.0,1506.679,235.0,1689.291,231.0,1533.874,217.0,1791.481,232.0,1870.87,249,2530.329,40,387.095
871,0.0,0.0,2.0,8.75,0.0,0.0,7.0,12.75,10.0,58.88,2.0,10.6,4.0,36.495,1.0,15.0,1.0,1.98,8.0,43.9,7.0,133.07,5.0,38.8,0.0,0.0,2.0,7.5,4.0,15.835,2.0,10.62,0.0,0.0,0.0,0.0,2.0,13.2,0,0.0,0,0.0
872,10.0,28.68,10.0,15.5,6.0,13.91,1.0,0.8,9.0,30.65,5.0,32.035,8.0,61.51,6.0,60.82,4.0,39.05,1.0,7.05,3.0,76.03,7.0,84.956,4.0,26.04,5.0,39.85,9.0,194.905,17.0,292.55,17.0,303.376,14.0,137.6,16.0,254.025,16,273.19,17,285.29
873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,22.0,6.0,40.5,19.0,89.176,19.0,95.602,21.0,134.74,23.0,269.496,40,329.635,2,13.29
