Postcode,Installation,Output
0,0,0
200,0,0
800,0,0
801,0,0
803,0,0
804,0,0
810,0,0
811,0,0
812,0,0
813,0,0
814,0,0
820,0,0
821,1,9.6
822,1,10.4
828,0,0
829,0,0
830,0,0
831,0,0
832,0,0
834,0,0
835,0,0
836,0,0
837,0,0
838,0,0
839,0,0
840,0,0
841,0,0
845,0,0
846,1,4.8
847,0,0
850,1,10.5
851,1,6.56
852,3,21.33
853,0,0
854,1,11.645
860,0,0
861,3,22.685
862,1,2.635
870,0,0
871,2,10.6
872,5,32.035
873,0,0
874,0,0
875,0,0
880,0,0
881,3,25.04
885,0,0
886,0,0
1340,0,0
1355,0,0
1435,0,0
1460,0,0
1470,0,0
1475,0,0
1480,0,0
1485,0,0
1490,0,0
1495,0,0
1570,0,0
1595,0,0
1630,0,0
1655,0,0
1658,0,0
1660,0,0
1670,0,0
1680,0,0
1710,0,0
1715,0,0
1730,0,0
1741,0,0
1755,0,0
1765,0,0
1790,0,0
1800,0,0
1805,0,0
1830,0,0
1835,0,0
1848,0,0
1860,0,0
1871,0,0
1875,0,0
1885,0,0
1890,0,0
2000,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
2020,0,0
2021,1,0.93
2022,0,0
2023,0,0
2024,0,0
2025,0,0
2026,0,0
2027,0,0
2028,0,0
2029,0,0
2030,0,0
2031,0,0
2032,0,0
2033,0,0
2034,0,0
2035,0,0
2036,1,0.16
2037,0,0
2038,0,0
2039,0,0
2040,0,0
2041,2,4.11
2042,0,0
2043,0,0
2044,0,0
2045,0,0
2046,1,0.99
2047,0,0
2048,0,0
2049,0,0
2050,0,0
2055,0,0
2057,0,0
2059,0,0
2060,0,0
2061,0,0
2062,0,0
2063,0,0
2064,1,2.8
2065,0,0
2066,1,3.04
2067,0,0
2068,0,0
2069,0,0
2070,0,0
2071,0,0
2072,0,0
2073,0,0
2074,0,0
2075,0,0
2076,0,0
2077,1,2.31
2079,0,0
2080,0,0
2081,0,0
2082,0,0
2083,0,0
2084,1,3.1
2085,0,0
2086,0,0
2087,0,0
2088,0,0
2089,0,0
2090,0,0
2092,0,0
2093,0,0
