Postcode,Installation,Output
0,0,0
200,0,0
800,4,133.49
801,1,6
803,1,6.12
804,1,4.77
810,225,1105.465
811,0,0
812,122,622.83
813,1,4.5
814,1,4
820,54,886.275
821,0,0
822,45,493.345
828,9,181.86
829,1,4.5
830,91,796.81
831,1,4.5
832,74,323.36
834,15,100.485
835,27,235.681
836,48,272.295
837,0,0
838,5,79.86
839,0,0
840,5,27.05
841,4,12.24
845,8,42.845
846,6,25.4
847,2,9.01
850,103,1110.355
851,8,59.035
852,1,5
853,0,0
854,1,60.32
860,29,127
861,1,4
862,1,4.5
870,261,1506.679
871,4,15.835
872,9,194.905
873,6,40.5
874,1,40
875,20,85.583
880,0,0
881,0,0
885,0,0
886,0,0
1340,0,0
1355,0,0
1435,0,0
1460,0,0
1470,0,0
1475,0,0
1480,0,0
1485,0,0
1490,0,0
1495,0,0
1570,0,0
1595,0,0
1630,1,5
1655,0,0
1658,0,0
1660,0,0
1670,0,0
1680,1,5.2
1710,0,0
1715,0,0
1730,0,0
1741,0,0
1755,0,0
1765,0,0
1790,2,39.5
1800,0,0
1805,1,5
1830,0,0
1835,0,0
1848,0,0
1860,0,0
1871,0,0
1875,0,0
1885,0,0
1890,1,4.75
2000,1,24
2007,2,17.48
2008,7,136.62
2009,0,0
2010,9,42.17
2011,2,98
2015,19,243.27
2016,5,12.7
2017,8,177.065
2018,22,83.575
2019,19,116.708
2020,10,43.19
2021,7,23.121
2022,17,65.85
2023,14,92.739
2024,27,119.895
2025,8,21.212
2026,30,131.687
2027,8,47.885
2028,3,9.395
2029,18,121.185
2030,36,190.952
2031,33,191.8
2032,22,98.566
2033,16,90.192
2034,25,74.38
2035,58,269.616
2036,72,358.976
2037,13,82.205
2038,21,70.215
2039,14,56.165
2040,43,186.875
2041,32,97.045
2042,33,134.586
2043,6,16.64
2044,17,164.935
2045,16,76.05
2046,51,332.495
2047,15,60.69
2048,11,31.8
2049,10,33.952
2050,14,58.823
2055,0,0
2057,1,4.125
2059,1,30
2060,15,78.295
2061,3,22.116
2062,8,23.435
2063,29,130.976
2064,14,141.055
2065,27,121.8
2066,61,322.26
2067,29,137.259
2068,44,212.746
2069,42,184.892
2070,24,126.25
2071,30,171.12
2072,13,62.525
