Postcode,Installation,Output
0,0,0
200,0,0
800,11,526.04
801,1,99.99
803,0,0
804,1,9.36
810,547,4186.715
811,0,0
812,358,2405.727
813,1,6.6
814,0,0
820,249,2736.415
821,0,0
822,177,1630.03
828,54,882.705
829,8,154.155
830,333,2585.125
831,0,0
832,363,2404.37
834,48,421.615
835,99,830.46
836,193,1552.29
837,12,199.59
838,25,268.315
839,6,104.505
840,15,112.895
841,14,213.055
845,8,73.84
846,3,21.085
847,9,88.96
850,250,1472.495
851,1,61.2
852,35,589.03
853,0,0
854,3,19.8
860,10,73.68
861,3,15.1
862,6,73.26
870,249,2530.329
871,0,0
872,16,273.19
873,40,329.635
874,3,19.69
875,31,245.12
880,1,10.71
881,0,0
885,1,99.66
886,0,0
1340,0,0
1355,0,0
1435,0,0
1460,0,0
1470,0,0
1475,0,0
1480,0,0
1485,0,0
1490,0,0
1495,1,6.48
1560,0,0
1570,0,0
1595,0,0
1630,1,9.9
1640,0,0
1655,0,0
1658,0,0
1660,1,9.6
1670,0,0
1680,0,0
1685,0,0
1710,0,0
1715,0,0
1730,0,0
1741,0,0
1755,0,0
1765,1,6.6
1790,0,0
1800,0,0
1805,0,0
1830,0,0
1835,0,0
1848,0,0
1860,0,0
1871,0,0
1875,0,0
1885,0,0
1890,1,6.66
2000,6,290.19
2007,8,166.49
2008,12,62.77
2009,1,30.81
2010,21,175.87
2011,3,56.1
2015,24,526.04
2016,20,160.935
2017,10,124.76
2018,54,527.82
2019,51,816.815
2020,59,690.43
2021,42,261.385
2022,41,265.12
2023,38,411.52
2024,50,396.925
2025,19,141.155
2026,91,701.72
2027,11,76.075
2028,9,100.78
2029,31,287.725
2030,82,777.275
2031,106,798.745
2032,45,317.84
2033,26,209.295
2034,68,517.065
2035,173,1518.425
2036,173,1537.645
2037,29,207.795
2038,51,297.25
2039,31,217.06
2040,119,999.615
2041,58,369.83
2042,70,384.26
2043,20,137.49
2044,41,400.235
2045,61,651.38
2046,162,1288.645
2047,52,373.88
2048,36,220.03
2049,51,374.825
2050,17,231.006
2055,0,0
2057,1,13.36
2059,0,0
2060,42,421.575
2061,0,0
2062,25,155.565
2063,64,540.89
2064,47,768.05
2065,92,770.705
2066,195,1765.26
