Postcode,Installation,Output
0,0,0
200,0,0
800,2,58.005
801,0,0
803,0,0
804,3,14.08
810,62,242.19
811,0,0
812,35,139.51
813,0,0
814,0,0
820,20,89.365
821,0,0
822,17,119.024
828,1,15.12
829,0,0
830,52,193.025
831,0,0
832,38,140.27
834,4,21.95
835,22,82.985
836,48,213.845
837,1,3
838,3,14.25
839,0,0
840,2,9.63
841,0,0
845,3,48.361
846,0,0
847,1,6.84
850,1,4.32
851,2,14.82
852,5,32.63
853,0,0
854,1,7.41
860,0,0
861,0,0
862,2,21.75
870,172,625.357
871,5,38.8
872,7,84.956
873,0,0
874,0,0
875,0,0
880,2,36.514
881,0,0
885,1,7.41
886,1,7.41
1340,0,0
1355,0,0
1435,1,1.54
1460,0,0
1470,1,1.52
1475,0,0
1480,1,2
1485,0,0
1490,0,0
1495,0,0
1570,0,0
1595,0,0
1630,0,0
1655,0,0
1658,0,0
1660,1,3.5
1670,0,0
1680,0,0
1710,0,0
1715,0,0
1730,1,2
1741,0,0
1755,0,0
1765,3,8.88
1790,1,1.52
1800,0,0
1805,0,0
1830,1,6.08
1835,0,0
1848,0,0
1860,2,23.9
1871,0,0
1875,1,1.61
1885,2,5.15
1890,2,5.13
2000,2,23.16
2007,2,3.88
2008,1,1.14
2009,2,8.72
2010,7,35.86
2011,3,11.624
2015,11,22.93
2016,3,9.385
2017,6,53.15
2018,35,94.465
2019,29,121.155
2020,34,81.13
2021,15,60.49
2022,18,69.84
2023,8,32.31
2024,14,48.835
2025,3,11.5
2026,28,79.52
2027,1,1.6
2028,0,0
2029,5,15.6
2030,18,55.025
2031,32,85.125
2032,22,56.09
2033,14,31.78
2034,13,35.082
2035,86,200.11
2036,98,229.47
2037,10,17.6
2038,14,28.8
2039,7,16.07
2040,53,142.43
2041,22,52.79
2042,26,51.864
2043,8,24.765
2044,38,109.065
2045,7,20.63
2046,63,143.595
2047,20,53.01
2048,17,27.985
2049,22,58.53
2050,33,66.958
2055,0,0
2057,2,5.14
2059,0,0
2060,8,22.27
2061,0,0
2062,4,7.635
2063,21,63.51
2064,5,12.51
2065,43,174.255
2066,91,227.885
2067,36,90.552
2068,46,112.705
2069,35,86.855
2070,38,111.296
2071,22,70.78
