Postcode,Installation,Output
0,0,0
200,0,0
800,4,15.38
801,0,0
803,0,0
804,0,0
810,5,8.25
811,0,0
812,1,0.99
813,0,0
814,0,0
820,0,0
821,1,7.26
822,7,21.6
828,0,0
829,0,0
830,7,14.19
831,0,0
832,2,2.97
834,0,0
835,2,9.57
836,5,6.19
837,0,0
838,1,3.2
839,0,0
840,0,0
841,0,0
845,4,4.62
846,0,0
847,0,0
850,1,6.6
851,1,5.8
852,9,24.43
853,0,0
854,0,0
860,0,0
861,2,32.25
862,0,0
870,22,117.7
871,1,15
872,6,60.82
873,0,0
874,0,0
875,0,0
880,0,0
881,2,3.3
885,0,0
886,5,53.95
1340,0,0
1355,0,0
1435,0,0
1460,0,0
1470,0,0
1475,0,0
1480,0,0
1485,0,0
1490,0,0
1495,0,0
1570,0,0
1595,0,0
1630,0,0
1655,0,0
1658,0,0
1660,0,0
1670,0,0
1680,0,0
1710,0,0
1715,0,0
1730,0,0
1741,0,0
1755,0,0
1765,0,0
1790,0,0
1800,0,0
1805,0,0
1830,0,0
1835,0,0
1848,0,0
1860,0,0
1871,0,0
1875,0,0
1885,0,0
1890,0,0
2000,0,0
2007,0,0
2008,2,2.25
2009,0,0
2010,0,0
2011,2,2.04
2015,2,2.002
2016,3,4.56
2017,0,0
2018,2,1.98
2019,0,0
2020,0,0
2021,1,1.002
2022,4,5.072
2023,2,4.095
2024,8,11.77
2025,5,8.52
2026,3,3.57
2027,0,0
2028,1,1.4
2029,4,4.675
2030,4,4.96
2031,6,8.81
2032,3,4.022
2033,1,2.04
2034,4,5.059
2035,4,4.155
2036,7,9.467
2037,5,6.7
2038,4,4.17
2039,0,0
2040,9,13.58
2041,5,5.98
2042,9,11.64
2043,3,3.12
2044,2,2.034
2045,0,0
2046,7,8.46
2047,2,2.065
2048,1,0.99
2049,4,5.948
2050,0,0
2055,1,2.4
2057,0,0
2059,0,0
2060,1,1.02
2061,1,1.02
2062,1,2.1
2063,2,3.5
2064,1,1.23
2065,7,11.635
2066,9,11.555
2067,1,1.08
2068,7,8.67
2069,6,7.45
2070,3,3.81
2071,5,14.17
2072,2,2.05
2073,0,0
2074,11,13.144
2075,1,1.02
2076,14,15.885
2077,11,11.972
