Postcode,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,AVG,Total
850.0,0.0,0.0,2.56,0.0,19.6,10.5,0.0,6.6,8.46,23.875,108.615,4.32,164.07,558.225,1110.355,469.525,467.138,575.081,1163.55,1472.495,192.345,302.7292380952381,6357.314
851.0,0.0,0.0,0.0,0.0,0.0,6.56,1.53,5.8,0.0,12.365,11.495,14.82,25.5,30.34,59.035,57.29,0.0,39.44,0.0,61.2,0.0,15.494047619047619,325.375
852.0,3.5,0.0,0.0,0.0,25.28,21.33,34.42,24.43,31.5,53.5,1.575,32.63,56.97,53.5,5.0,129.89,124.425,394.89,297.5,589.03,20.35,90.46285714285713,1899.7199999999998
853.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.65,0.0,0.0,0.0,0.0,0.0,0.1261904761904762,2.65
854.0,0.0,0.0,0.0,0.0,9.0,11.645,0.0,0.0,0.0,0.0,0.0,7.41,0.0,5.0,60.32,0.0,9.54,0.0,36.48,19.8,30.0,9.009285714285713,189.195
860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,14.0,27.816,0.0,104.43,81.25,127.0,117.593,0.0,0.0,145.69,73.68,39.44,35.071380952380956,736.499
861.0,0.0,0.0,0.6,13.68,0.0,22.685,0.0,32.25,0.0,0.0,3.04,0.0,12.24,18.0,4.0,0.0,0.0,0.0,0.0,15.1,0.0,5.790238095238095,121.595
862.0,0.0,0.0,0.0,0.0,0.0,2.635,0.0,0.0,0.0,34.13,0.0,21.75,7.0,0.0,4.5,38.375,101.24,5.4,78.3,73.26,0.0,17.456666666666667,366.59
870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.7,140.19,492.155,460.445,625.357,1298.365,1474.065,1506.679,1689.291,1533.874,1791.481,1870.87,2530.329,387.095,757.9950476190477,15917.896
871.0,0.0,8.75,0.0,12.75,58.88,10.6,36.495,15.0,1.98,43.9,133.07,38.8,0.0,7.5,15.835,10.62,0.0,0.0,13.2,0.0,0.0,19.399047619047618,407.38
872.0,28.68,15.5,13.91,0.8,30.65,32.035,61.51,60.82,39.05,7.05,76.03,84.956,26.04,39.85,194.905,292.55,303.376,137.6,254.025,273.19,285.29,107.51509523809524,2257.817
873.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,40.5,89.176,95.602,134.74,269.496,329.635,13.29,47.354238095238095,994.439
874.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,40.0,10.71,5.4,5.13,49.13,19.69,6.29,6.707142857142857,140.85
875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.583,93.677,110.266,194.59,71.36,245.12,20.24,39.087428571428575,820.836
880.0,0.0,0.0,0.0,0.0,13.6,0.0,2.58,0.0,0.0,0.0,100.737,36.514,0.0,0.0,0.0,75.06,0.0,0.0,0.0,10.71,0.0,11.39052380952381,239.201
881.0,0.0,0.0,0.0,5.75,12.16,25.04,0.0,3.3,0.0,60.0,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.13,107.73
885.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.41,0.0,0.0,0.0,123.76,0.0,89.4,278.37,99.66,0.0,28.504761904761907,598.6
886.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.95,0.0,0.0,10.34,7.41,0.0,0.0,0.0,59.84,0.0,0.0,20.15,0.0,0.0,7.2233333333333345,151.69000000000003
1340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054285714285714284,1.14
1355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04857142857142857,1.02
1435.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07333333333333333,1.54
1460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75,0.0,0.0,0.0,0.0,0.0,0.2261904761904762,4.75
1470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0,0.0,0.0,0.0,4.29,0.0,0.0,0.0,0.0,0.27666666666666667,5.8100000000000005
1475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,4.86,5.025,0.0,0.0,0.0,0.5707142857142857,11.985000000000001
1480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23238095238095238,4.88
1485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,2.0
1490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0719047619047619,1.51
1495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75,0.0,0.0,0.0,0.0,0.0,6.48,0.0,0.5347619047619048,11.23
1570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.530952380952381,11.15
1595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.56,0.0,0.0,0.5571428571428572,11.7
1630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,15.885,0.0,9.9,0.0,1.6088095238095237,33.785
1655.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.245,6.6,0.0,0.0,0.8497619047619047,17.845
1658.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,5.04
1660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,0.0,0.6238095238095238,13.1
1670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21142857142857144,4.44
1680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.18,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4466666666666666,9.379999999999999
1710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.22857142857142856,4.8
1715.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1433333333333333,3.01
1730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,5.49,0.0,0.0,0.6423809523809524,13.49
1741.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47619047619047616,10.0
1755.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.0,0.0,0.0,0.0,0.0,0.0,3.12,0.0,0.0,0.0,0.0,0.24285714285714283,5.1
1765.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04,8.88,0.0,3.5,0.0,3.78,0.0,0.0,0.0,6.6,0.0,1.2285714285714289,25.800000000000004
1790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0,0.0,39.5,74.88,0.0,0.0,0.0,0.0,0.0,5.519047619047619,115.89999999999999
1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,4.2
1805.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.72,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.700952380952381,14.72
1830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2895238095238095,6.08
1835.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054285714285714284,1.14
1848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049523809523809526,1.04
1860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,23.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2104761904761905,25.419999999999998
1871.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07238095238095238,1.52
1875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07666666666666667,1.61
1885.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.14,5.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6328571428571429,13.290000000000001
1890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,5.13,0.0,0.0,4.75,0.0,0.0,0.0,0.0,6.66,0.0,0.8590476190476191,18.04
2000.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,64.8,68.21,23.16,16.83,52.037,24.0,49.66,357.396,182.578,93.825,290.19,64.8,61.38028571428572,1288.986
2007.0,0.0,0.0,1.23,0.0,0.0,0.0,0.0,0.0,0.0,13.18,25.34,3.88,39.12,4.75,17.48,30.16,0.0,0.0,55.55,166.49,0.0,17.00857142857143,357.18
2008.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,2.25,19.33,21.435,7.56,1.14,2.52,60.21,136.62,282.233,0.0,91.941,9.74,62.77,26.765,34.55209523809524,725.594
2009.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,7.52,8.72,0.0,0.0,0.0,53.28,104.4,10.35,131.0,30.81,0.0,16.59428571428571,348.47999999999996
2010.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,3.57,57.932,77.493,35.86,100.96,35.313,42.17,164.95,284.405,62.696,85.73,175.87,103.5,58.6642380952381,1231.949
2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04,3.03,7.09,32.41,11.624,7.74,1.5,98.0,11.74,19.84,69.79,157.315,56.1,57.7,25.51995238095238,535.919
2015.0,0.0,0.0,0.0,0.0,0.0,0.0,2.01,2.002,7.48,65.845,46.25,22.93,95.36,227.495,243.27,274.485,245.975,388.364,541.086,526.04,779.4,165.1424761904762,3467.992
2016.0,0.0,0.0,0.0,0.0,0.0,0.0,1.002,4.56,4.42,46.04,32.44,9.385,12.95,25.849,12.7,30.71,150.63,99.17,133.523,160.935,35.04,36.15971428571429,759.354
2017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,22.81,14.21,53.15,36.0,8.9,177.065,38.635,119.43,64.885,319.6,124.76,6.63,47.00452380952381,987.095
2018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,5.445,120.77,105.625,94.465,40.34,59.22,83.575,226.172,53.415,189.25,379.175,527.82,232.37,100.93438095238095,2119.622
2019.0,0.0,0.0,1.41,0.0,0.0,0.0,0.0,0.0,14.752,85.525,116.66,121.155,141.275,424.81,116.708,71.94,191.8,364.965,669.825,816.815,348.03,165.9842857142857,3485.67
2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.19,53.534,123.6,81.13,104.53,198.15,43.19,312.835,120.735,244.085,370.583,690.43,220.475,122.45080952380951,2571.4669999999996
2021.0,0.0,0.0,2.25,0.0,0.0,0.93,6.68,1.002,6.775,35.68,43.34,60.49,20.315,32.03,23.121,167.326,152.42,118.695,179.132,261.385,202.9,62.59385714285715,1314.4710000000002
2022.0,0.0,0.0,0.0,0.0,0.0,0.0,3.16,5.072,6.085,67.1,63.074,69.84,21.73,68.709,65.85,148.253,70.62,240.936,224.865,265.12,137.75,69.43638095238096,1458.1640000000002
2023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.095,26.125,47.21,68.594,32.31,51.575,79.621,92.739,178.675,141.57,276.431,236.535,411.52,131.525,84.69166666666668,1778.5250000000003
2024.0,1.0,0.0,3.15,1.5,0.0,0.0,2.91,11.77,12.795,123.55,55.06,48.835,46.6,77.19,119.895,127.554,225.129,396.74,609.095,396.925,160.04,115.22561904761903,2419.738
2025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.52,2.55,25.31,54.469,11.5,7.75,20.3,21.212,61.05,39.945,85.154,173.065,141.155,50.43,33.448095238095235,702.41
2026.0,0.0,0.0,0.0,0.0,0.9,0.0,7.4,3.57,30.065,158.492,130.093,79.52,45.835,112.564,131.687,169.595,205.255,321.594,383.625,701.72,365.795,135.6052380952381,2847.71
2027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03,19.095,19.27,1.6,10.11,52.19,47.885,78.354,26.88,90.62,106.23,76.075,11.425,25.845904761904762,542.764
2028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.36,22.345,18.92,0.0,5.105,4.0,9.395,21.715,15.84,78.1,111.64,100.78,105.41,23.61952380952381,496.01
2029.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31,4.675,3.0,33.83,51.75,15.6,22.198,33.02,121.185,53.79,58.261,169.62,125.48,287.725,126.15,52.79019047619048,1108.594
2030.0,0.0,1.5,0.0,0.0,0.0,0.0,2.64,4.96,5.17,99.21,87.417,55.025,93.008,105.168,190.952,213.696,336.752,293.997,386.847,777.275,216.375,136.66628571428572,2869.992
2031.0,1.1,0.9,0.0,0.0,0.96,0.0,0.0,8.81,33.96,200.37,231.165,85.125,72.62,182.794,191.8,173.705,289.029,543.094,669.555,798.745,397.63,184.8267619047619,3881.362
2032.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,4.022,5.61,100.94,118.099,56.09,41.23,44.76,98.566,50.55,116.553,387.945,304.625,317.84,165.12,86.28714285714284,1812.0299999999997
2033.0,4.4,0.0,0.75,0.0,0.0,0.0,0.0,2.04,9.41,54.86,78.395,31.78,18.5,31.78,90.192,49.91,60.799,209.246,238.41,209.295,164.53,59.72842857142857,1254.297
2034.0,0.0,0.0,0.0,0.08,0.0,0.0,2.13,5.059,9.05,149.006,124.428,35.082,90.33,65.244,74.38,80.895,132.504,409.588,395.31,517.065,292.925,113.47980952380952,2383.076
2035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,4.155,76.58,315.495,291.75,200.11,169.495,184.11,269.616,171.095,293.14,926.235,586.095,1518.425,738.13,273.59004761904765,5745.3910000000005
2036.0,0.0,0.0,1.35,0.0,0.0,0.16,1.05,9.467,28.29,282.915,298.98,229.47,151.085,293.46,358.976,245.91,364.213,859.234,831.52,1537.645,843.88,301.79071428571433,6337.6050000000005
2037.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,6.7,12.88,76.274,68.175,17.6,45.685,139.094,82.205,68.867,131.49,233.22,91.475,207.795,161.94,64.03428571428572,1344.72
2038.0,0.0,1.785,1.5,0.0,0.0,0.0,4.044,4.17,8.49,84.399,70.022,28.8,22.5,77.285,70.215,78.98,104.805,258.02,257.659,297.25,89.23,69.4835238095238,1459.154
2039.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.0,4.3,89.419,88.7,16.07,40.9,116.587,56.165,27.805,89.16,184.075,116.37,217.06,79.515,53.675047619047625,1127.1760000000002
