Postcode,Installation,Output
0,0,0
200,0,0
800,11,527.74
801,1,31.86
803,0,0
804,2,21.725
810,400,2876.639
811,0,0
812,246,1757.254
813,0,0
814,0,0
820,157,1773.789
821,1,15.95
822,134,1478.312
828,28,498.995
829,4,128.545
830,288,2093.058
831,1,6.555
832,406,2811.003
834,34,262.061
835,59,424.417
836,178,1378.908
837,9,68.186
838,13,105.635
839,4,36.74
840,12,87.04
841,10,247.795
845,9,108.19
846,3,54.43
847,2,12.96
850,66,575.081
851,1,39.44
852,16,394.89
853,0,0
854,0,0
860,0,0
861,0,0
862,1,5.4
870,217,1791.481
871,0,0
872,14,137.6
873,21,134.74
874,1,5.13
875,19,194.59
880,0,0
881,0,0
885,2,89.4
886,0,0
1340,0,0
1355,0,0
1435,0,0
1460,0,0
1470,0,0
1475,1,5.025
1480,0,0
1485,0,0
1490,0,0
1495,0,0
1560,1,5.025
1570,0,0
1595,0,0
1630,4,15.885
1640,2,15.075
1655,2,11.245
1658,0,0
1660,0,0
1670,0,0
1680,0,0
1710,0,0
1715,0,0
1730,0,0
1741,0,0
1755,0,0
1765,0,0
1790,0,0
1800,0,0
1805,0,0
1830,0,0
1835,0,0
1848,0,0
1860,0,0
1871,0,0
1875,0,0
1885,0,0
1890,0,0
2000,5,182.578
2007,0,0
2008,11,91.941
2009,2,10.35
2010,7,62.696
2011,4,69.79
2015,20,388.364
2016,13,99.17
2017,4,64.885
2018,21,189.25
2019,33,364.965
2020,18,244.085
2021,22,118.695
2022,22,240.936
2023,33,276.431
2024,38,396.74
2025,14,85.154
2026,46,321.594
2027,5,90.62
2028,10,78.1
2029,19,169.62
2030,43,293.997
2031,67,543.094
2032,51,387.945
2033,23,209.246
2034,65,409.588
2035,137,926.235
2036,118,859.234
2037,26,233.22
2038,39,258.02
2039,32,184.075
2040,81,439.865
2041,49,221.023
2042,45,208.934
2043,12,119.295
2044,25,151.14
2045,34,262.057
2046,76,586.594
2047,26,202.478
2048,25,240.56
2049,27,164.2
2050,13,130.29
2055,0,0
2057,3,26.55
2059,0,0
2060,15,75.445
2061,5,54.54
2062,19,109.025
2063,37,303.355
2064,32,369.03
2065,52,383.14
2066,118,1008.668
2067,48,397.495
2068,60,345.122
