Postcode,Installation,Output
0,0,0
200,0,0
800,40,682.48
801,0,0
803,0,0
804,0,0
810,679,5078.405
811,0,0
812,391,2732.18
813,0,0
814,0,0
820,243,2092.685
821,1,9.3
822,178,1981.337
828,54,640.375
829,7,265.79
830,444,3226.205
831,0,0
832,514,3356.448
834,47,363.885
835,86,707.075
836,255,2120.195
837,11,116.69
838,27,211.6
839,8,177.16
840,29,209.775
841,18,148.95
845,5,27.89
846,6,54.89
847,1,6.49
850,106,1163.55
851,0,0
852,27,297.5
853,0,0
854,1,36.48
860,24,145.69
861,0,0
862,5,78.3
870,232,1870.87
871,2,13.2
872,16,254.025
873,23,269.496
874,8,49.13
875,11,71.36
880,0,0
881,0,0
885,6,278.37
886,1,20.15
1340,0,0
1355,0,0
1435,0,0
1460,0,0
1470,0,0
1475,0,0
1480,0,0
1485,0,0
1490,0,0
1495,0,0
1560,0,0
1570,0,0
1595,1,7.56
1630,0,0
1640,0,0
1655,1,6.6
1658,0,0
1660,0,0
1670,0,0
1680,0,0
1710,0,0
1715,0,0
1730,1,5.49
1741,0,0
1755,0,0
1765,0,0
1790,0,0
1800,0,0
1805,0,0
1830,0,0
1835,0,0
1848,0,0
1860,0,0
1871,0,0
1875,0,0
1885,0,0
1890,0,0
2000,2,93.825
2007,2,55.55
2008,3,9.74
2009,3,131
2010,14,85.73
2011,6,157.315
2015,28,541.086
2016,16,133.523
2017,16,319.6
2018,48,379.175
2019,36,669.825
2020,36,370.583
2021,30,179.132
2022,33,224.865
2023,26,236.535
2024,47,609.095
2025,19,173.065
2026,59,383.625
2027,11,106.23
2028,9,111.64
2029,16,125.48
2030,44,386.847
2031,74,669.555
2032,45,304.625
2033,18,238.41
2034,54,395.31
2035,87,586.095
2036,117,831.52
2037,19,91.475
2038,40,257.659
2039,24,116.37
2040,80,603.027
2041,48,234.685
2042,49,341.6
2043,13,151.78
2044,35,303.02
2045,39,300.93
2046,92,980.327
2047,24,149.515
2048,24,217.242
2049,41,292.631
2050,7,203.53
2055,0,0
2057,4,24.27
2059,0,0
2060,14,159.05
2061,1,6.615
2062,19,144.625
2063,43,418.89
2064,27,200.86
2065,57,404.265
2066,134,1021.044
2067,54,466.635
2068,116,978.69
