Postcode,Installation,Output
0,0,0
200,0,0
800,0,0
801,0,0
803,0,0
804,4,7.17
810,127,190.658
811,0,0
812,62,105.399
813,1,2.064
814,0,0
820,14,25.95
821,0,0
822,21,114.891
828,0,0
829,1,1
830,61,99.003
831,2,3.15
832,35,51.029
834,0,0
835,26,62.695
836,33,59.355
837,0,0
838,6,10.375
839,0,0
840,2,2.54
841,2,4.14
845,2,3.81
846,4,8.86
847,0,0
850,15,23.875
851,5,12.365
852,4,53.5
853,0,0
854,0,0
860,1,14
861,0,0
862,1,34.13
870,197,492.155
871,8,43.9
872,1,7.05
873,0,0
874,0,0
875,0,0
880,0,0
881,2,60
885,0,0
886,0,0
1340,0,0
1355,0,0
1435,0,0
1460,0,0
1470,0,0
1475,1,2.1
1480,1,2.88
1485,0,0
1490,0,0
1495,0,0
1570,2,11.15
1595,2,4.14
1630,0,0
1655,0,0
1658,1,5.04
1660,0,0
1670,0,0
1680,0,0
1710,0,0
1715,2,3.01
1730,0,0
1741,1,10
1755,1,1.98
1765,0,0
1790,0,0
1800,1,4.2
1805,1,9.72
1830,0,0
1835,0,0
1848,1,1.04
1860,0,0
1871,0,0
1875,0,0
1885,0,0
1890,0,0
2000,1,64.8
2007,5,13.18
2008,13,21.435
2009,0,0
2010,21,57.932
2011,3,7.09
2015,23,65.845
2016,20,46.04
2017,11,22.81
2018,52,120.77
2019,46,85.525
2020,27,53.534
2021,17,35.68
2022,36,67.1
2023,17,47.21
2024,62,123.55
2025,10,25.31
2026,62,158.492
2027,7,19.095
2028,10,22.345
2029,15,33.83
2030,33,99.21
2031,89,200.37
2032,49,100.94
2033,20,54.86
2034,60,149.006
2035,148,315.495
2036,129,282.915
2037,36,76.274
2038,46,84.399
2039,39,89.419
2040,97,190.628
2041,58,134.61
2042,64,123.48
2043,18,29.62
2044,51,120.54
2045,17,44.35
2046,107,253.23
2047,24,58.699
2048,28,55.504
2049,44,81.31
2050,15,44.36
2055,0,0
2057,3,4.23
2059,0,0
2060,25,51.75
2061,3,6
2062,19,46.005
2063,45,94.565
2064,25,83.79
2065,92,215.982
2066,176,389.227
2067,110,218.716
2068,103,224.304
2069,98,222.404
2070,86,169.459
2071,83,176.95
2072,33,80.216
