Postcode,Installation,Output
0,0,0
200,0,0
800,12,48.33
801,0,0
803,0,0
804,0,0
810,159,770.127
811,0,0
812,103,497.885
813,2,9.585
814,1,3.9
820,43,244.26
821,0,0
822,21,133.5
828,6,72.79
829,0,0
830,101,411.68
831,1,3.92
832,90,352.355
834,13,52.4
835,34,163.935
836,67,372.208
837,6,29
838,5,21.355
839,0,0
840,6,30.94
841,0,0
845,8,35.56
846,2,8
847,2,89.5
850,31,164.07
851,5,25.5
852,8,56.97
853,0,0
854,0,0
860,20,104.43
861,2,12.24
862,1,7
870,271,1298.365
871,0,0
872,4,26.04
873,0,0
874,0,0
875,0,0
880,0,0
881,0,0
885,0,0
886,0,0
1340,0,0
1355,0,0
1435,0,0
1460,0,0
1470,0,0
1475,0,0
1480,0,0
1485,1,2
1490,0,0
1495,0,0
1570,0,0
1595,0,0
1630,0,0
1655,0,0
1658,0,0
1660,0,0
1670,0,0
1680,0,0
1710,0,0
1715,0,0
1730,0,0
1741,0,0
1755,0,0
1765,0,0
1790,0,0
1800,0,0
1805,0,0
1830,0,0
1835,0,0
1848,0,0
1860,0,0
1871,0,0
1875,0,0
1885,0,0
1890,0,0
2000,2,16.83
2007,2,39.12
2008,1,2.52
2009,0,0
2010,25,100.96
2011,3,7.74
2015,13,95.36
2016,4,12.95
2017,2,36
2018,3,40.34
2019,16,141.275
2020,18,104.53
2021,8,20.315
2022,8,21.73
2023,11,51.575
2024,10,46.6
2025,2,7.75
2026,14,45.835
2027,4,10.11
2028,3,5.105
2029,6,22.198
2030,23,93.008
2031,20,72.62
2032,12,41.23
2033,6,18.5
2034,21,90.33
2035,36,169.495
2036,40,151.085
2037,10,45.685
2038,7,22.5
2039,10,40.9
2040,34,96.057
2041,25,68.495
2042,25,102.715
2043,4,8.74
2044,31,121.36
2045,4,11.47
2046,23,113.225
2047,15,57.754
2048,8,28.44
2049,16,42.79
2050,6,37.73
2055,0,0
2057,1,0.38
2059,0,0
2060,6,50.59
2061,0,0
2062,7,31.78
2063,12,43.18
2064,5,16.35
2065,21,73.195
2066,40,239.875
2067,20,120.333
2068,22,96.2
2069,25,100.876
2070,16,57.193
2071,20,90.665
2072,8,20.35
2073,25,132.998
2074,37,148.997
